stage,blastomeres,epidermis,eye,glial,heart,ionocyte,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm
  3-4,28.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,38.26,0,8.37
 14-21,0,0,0,0,0,32.87,4.11,0,7.02,1.29,0,0
 24-34,0,0,0,0,0,59.02,0.75,1.42,0,0,0,0
 36-46,0,0,0,0,0,2.49,0,0,0,0,0,0
 48-58,0,0,0,0,0,8.28,1.05,0,0,0,0,0
 60-70,0,1.54,0,0,0,0,0,0,0,0,0.57,0
 72-82,0,0,0,0,0,0.54,5.31,0,0,0,0,0
 84-94,0,0,0.66,0.92,0,8.01,3.86,0,0,0,0,0
 96-106,0,0,0,0,0,5,7.8,0,0,2.17,0,0
108-118,0,2.06,0,0,0.47,7.89,2.06,0,0,1.31,0,0
120,0,0,0,4.3,0,0,1.04,0,0,0,0,0
