stage,blastomeres,epidermis,eye,glial,melanocytes,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,11.59,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.87,0,0,0,0
 14-21,0,0.84,0,0,0,0,0,2.85,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.27,0,2.64,1.01,0,0
 36-46,0,0,0,0,0,0,0,3.71,0,0,0,0,0
 48-58,0,0,0,0.5,0.54,0.6,0.63,2.25,0,0,0.71,0,0
 60-70,0,0,2.51,0,0,0,0,1.97,0,2.61,0,0,0
 72-82,0,0,0,1.31,0,4.25,0,2.96,0,0,0,0.63,0
 84-94,0,0,1.38,0,0,3.24,0,7.7,0,0,0,0,0
108-118,0,1.02,0,0,0,10.71,0,4.36,0,0,1.81,3.49,1.33
