stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,9.39,0,0,0,0,0,0,0,0,0,0,32.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.92,3.02,0,0,0,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,1.03,5.05,0,0,0.85,0,0
 24-34,0,0,0,4.74,0.91,0.91,0,0,0,0,0,0,0,0.89,0,0,0.78,1.08,0,0,0,0,3.42,0,0,0,0,0,1.39,0,0,8.96,0,0
 36-46,0,0,0,0,1.29,0,0,0,1.02,0,0,0.9,0,0,11.79,0.61,0,7.59,0,0,5.44,1.46,5.09,0,0.97,0.63,0,0,0,0,0,0,0.78,3.26
 48-58,0,0,0,0,0,0,0.55,0,0.65,0,0,0.54,0,0,0.5,0.92,1.3,8.5,0,0,0.83,0,1.56,0.44,0,0.53,0,0,0.71,0,0,0.94,0,2.22
 60-70,0,0,0,4.13,1.38,0,0,0.88,0,0.66,0,0,0,0,0.82,0,0,14.04,0,0,1.81,0,1.6,0,0,1.33,0,0,0,0,0,2.9,0,0
 72-82,0,0,0,0,10.16,0,0.62,1.88,1.64,0,0,2.45,0.63,0,1.76,0.72,1.47,23.29,0.96,1.96,2.94,6.55,5.16,0,0,0,0,0,0,0,0,2.12,1.27,0
 84-94,0,0,0,5.27,0,0,0,1.47,3.5,1.18,0,0,0.91,0,2.28,0,5.51,8.93,2.88,0,1.59,0,3.11,0,0,8.3,0.67,0,0,0.71,0,4.36,0,0
 96-106,0,0,0,4.62,2.77,0,0.9,0,3.24,3.13,0,0,1.08,0.89,0.67,0,7.28,15.14,0,1.03,5.04,5.22,0.68,0,1.6,19.02,0,0,0,0.99,0,1.32,0,2.76
108-118,0,0,0,14.6,6.99,0,1.76,0,0,0.58,0,0.83,3.06,0,2.07,0,3.21,2.25,0,0,0.49,6.59,1.33,0.44,3.62,0.95,0,0,0,0,0,1.16,1.09,1.55
120,0,1.73,0,4.56,1.08,0,2.65,0,2.04,6.18,0,0,6.05,0,2.88,0,1.45,34.71,0,8.3,0,4.58,2.64,0,0,9.57,0,0,0,0,10.67,0,0,0
