stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,59.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.37,0,0,0,0,0,0,0,0,0
  5-6,7.95,54.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,5.68,0,0,0,0,0,0,0
 14-21,0,0,0,2.64,196.29,0,0,0,0,0,0,12.91,0,0,0,0,0,0,0,1.04,0,0,0,0,1.86,0,1.91,1.38,1.59,0,283.71,0,0
 24-34,0,0,0.66,0,33.77,1.37,0,0,0,0,0,50.69,0,1.9,0,0,1.75,0,34.83,1.87,0,0,0,0.78,0,0,0,1.86,2.5,0,1102.02,0,0
 36-46,0,0,0,2.02,25.44,1.3,0,0,0,0,0,15.34,0,0,0,0,2.56,0,34.26,1.82,1.63,0,0,0,0,0,0,0,7.02,0,729.7,0,1.06
 48-58,0,0,0,2.16,6.41,4.92,3.88,0,0,0,0,19.97,0,0,0.78,0,0.88,0,62.6,0.41,0,0.69,0,0,0,0,0,0,3.69,0,527.35,0,0
 60-70,5.05,0,0,0,25.43,13.1,0,0,0,0,0,12.24,0,0,0,0,0,4.27,16.6,0,0,0,0,0,0,0,0,0,15.45,0,352.04,1.79,0
 72-82,0,0,1.39,0,0,10.06,0,0,1.16,5.63,0,19.49,1.43,0,0,0,13.6,0,16.69,0,0,0,0,0,0,0,0,0,0,1.13,634.13,1.11,0
 84-94,0,0,0,0,0,11.54,0,0,3.32,3.38,0,16.38,0,0,0,0,1.09,0,18.01,0,0,0,0,0,0,0,0,0,0,0,548.3,2.52,0
 96-106,0,0,1.82,0,7.51,10.46,0,1.02,0.6,6.3,0,24.12,0,0,2.75,4.24,5.95,0,24.55,0,0,0,0,0.76,0,0,0,0,0,0,612.29,1.34,0
108-118,0,0,0.8,1.72,1.22,16.24,0,0,0,6.33,0,14.12,0.84,0,0,2.41,11.26,1.33,20.85,0,0,0,0,0,0,0.56,0,0,0,0,482.7,0,0
120,0,0,0,2.96,4.13,12.09,0,0,0,5.81,10.41,29.64,0,0,0,0,7.17,0,6.35,0,0,0,0,1.14,0,0,0,0,0,0,579.08,0,0
