stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,heart,immune,liver,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vasculature
  3-4,14.53,181.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0
  5-6,0,135.33,0,0,0,0,0,0,0,0,0,0,0,16.02,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,16.09,0,0,0,0,0,0,0,0
 10-12,0,0,5.91,0,0,0,0,0,0,0,0,0,0,20.6,0,0,10.89,0,0,0,0,0
 14-21,0,0,0,0,2.08,0,0,0,0,0,0,6.64,1.04,0,0,0,0,0,0.9,0,1.12,0
 24-34,0,0,0.68,0,3.55,0,0,0,0,3.64,0,0,0,8.75,0,0,0,0,0,0,2.94,4.36
 36-46,0,0,0,0,0,2.93,0,1.08,0,0,0,0,0,14.56,0.81,0,0,0,0,0,1.99,0
 48-58,0,0,0,0,5.66,10.46,0.71,0.7,0,0,0,0,0,4.51,0,0.4,0,4.5,0,0,1.32,0
 60-70,0,0,0,0,3.59,23.67,0,1.79,0,0,0,0,0.97,8.14,0,0,0,1.32,0,0,0,0
 72-82,0,0,0,0.72,4.67,6.49,0,3.55,0,0,3.22,0,8.08,17.74,1.87,0,0,0,0,0,0,0.66
 84-94,0,0,0,0,0,2.45,0,0,0,0,0.98,0,0,4.78,9.74,0,0,0,0,0,0,0
 96-106,0,0,0,0,20.31,9.35,0,4.66,0.67,0,1.3,0,0.99,8.94,1.03,2.78,0,4.97,0,0,3.57,0
108-118,0,0,0,0,10.17,9.66,0,1.64,0,0,0.98,0,0,14.47,0,0,0,0.81,0,0.44,3.64,0
120,0,0,0,7.29,20.47,8.57,0,0,0,0,0,0,0,11.21,0,0,0,1.09,0,0,0,0
