stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.86,0,0,0,3.02,0,0,0,0,0,0,0,0,0
 14-21,0,1.11,2.18,19.9,0,1.92,0,2.18,0,0,0.87,0,0.92,0,0,1.1,49.09,0.81,0,0,0,0,0.87,1.53,38.59,0,0,0,0,0
 24-34,0,0,1.32,1.72,0,1.61,0,0,0,0,0,0,1.35,0,0,0,26.62,0,0.84,0,0,0,0,0,29.03,0,0,0,0,0
 36-46,0,0,0,0,0,2.45,6.66,0,0,0,0,0,0.76,0,0,1.51,68.9,0,5.8,0,0,0,0,0,22.62,0,0,0,0,0
 48-58,0,0.42,1.06,0,0,6.2,8.43,0,0,0,0,0,0,0,0,0,68.01,0,8.67,0,0,2.12,0.54,0,14.59,0,0,0,0,0
 60-70,0,0,0,0,0,8.87,8.36,0,0,0,0,0,3.24,0,0,0.93,141.36,0,7.53,0,0,0,1.06,0,19.36,0,0,0,0,0
 72-82,0,0,0,0,0,21.09,23.71,0,5.28,0,0,1.79,9.59,0,0,0,280.8,0,5.52,0,0,0,0,0,44.93,0.68,0.97,2.22,0,0
 84-94,0,0.66,5.68,0,0,22.91,14.27,0,0,0,0,0,6.57,0,0,0,121.09,0,0,0,0,0,0,0,25.99,3,0,0,0,0
 96-106,0,0,5.15,5.84,0,11.26,12.52,0,0,1.07,0,0,7.24,0,0,0,158.88,0,10.44,1.46,0,0,0,0,22.1,8.01,0.79,0,0.64,3.05
108-118,0,0,7.23,0,0,18.66,8.33,0,0.99,0,0.74,0,3.11,0.53,0,0,233.48,0,7.25,0,0,0,0,0,23.09,0.94,0,0,0,0
120,0,0,1.8,0,1.89,27.2,26.41,0,0,0,0,0,0,0,9.54,0,355.72,0,3.09,16.05,0,0,0,0,25.79,0,0,0,0,0
