stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,47.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.18,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.12,1.95,0,2.16,0,0,0,0.89,0,0,0,0.83,0,0,0,0,0.88,0,0,2.14,24.56,0,0,0,2.05,1.8,1.69,3.25,0,0,0,0,0
 24-34,0,0.71,0,0.94,0,0,0.71,0,0,0,0,0,1.6,0,0,0,0.85,0,0.8,5.5,0,0,0,27.87,0.9,0,1.1,18.18,0,0,17.23,0,0,4.8,0,0
 36-46,0,0,0,0.63,0,0,3.81,0,2.35,0,1.99,0,0,0,0,0,0,0,0.58,5.05,0,1.26,0,13.01,0,0,1.56,10.62,0,0,2.4,0,0,0,0,0
 48-58,0,0,0,2.89,0,0,2.51,0,1.52,0.87,5.45,0,0,0,0,0,0,0,0,9.4,1.05,0,1.02,8.99,4.26,0,2.29,4.72,0,0,3.97,0,0,3.01,0,2.05
 60-70,0,0,0,0,0,0,0,0,0.9,0.87,1.68,0,0,0,0,0,0,0,0,12.01,0,0,0,16.81,0,0,0,0,0,0,0.96,0,0,0.99,0,0
 72-82,0,0,0,4.51,0,0,0.62,2.58,0,0,5.13,0.88,0,0,0,0,0,0,0,12.34,6.76,0,0,4.62,1.67,0,0,0,0,0,1.29,0.94,0,0,0,0
 84-94,0,0,0,1.41,0,0,3.94,0,0,0,6.04,0.64,4.81,2.04,0,0,0,0,0,6.64,0,0,0,5.63,0,1.88,0,2.05,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.58,0,0,5.14,0,0,0.89,3.5,2.92,0,0,0,0,0.92,0,0,12.24,0,0,1.05,11.23,0.68,0,0,5.19,0,0,0,0,1.21,1.49,0,0
108-118,0,0,0.49,4.95,0.66,2.2,0,0,4.91,0,4.96,2.43,0,3.1,0,2.36,0,1.98,1.73,5.26,0,0,0,9.68,0,0,0,3.94,0,0,0,0,1.17,0.77,6.71,0
120,0,0,0,1.8,0,0,2.99,0,0,0,5.49,0,0,1.12,0,0,0,0,0,10.31,0,10.83,0,2.43,0,0,0,0,0,0,0,0,0,13.21,0,2.08
