stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.35,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,52.87,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.91,0,24.71,0,0,7.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.62,227.93,28.16,0,0,2745.08,0,0,40.7,5.9,0,816.71,0,0,0,0,0
 14-21,0,0,0,3.72,40.36,12.35,2.86,0,0,0,6.5,9.34,2.21,0,0,0,0,2.26,217.46,0,0,1758.23,242.3,1.74,0,8.68,34.96,0,27.37,801.74,5.01,3731.17,18818.62,37.33,0,0,0,0
 24-34,0,0,0,0,6.46,5.24,8.8,22.41,0,52.71,1.87,3.33,0,0,0,0,0.84,0,510.97,1.24,0,1176.06,287.27,7.52,14.01,0,0,0,0.94,22.96,2.34,1085.2,2732.88,28.17,0,26.88,0,0.86
 36-46,0,0,0,0,0,0,8.03,67.54,0,97.7,0.89,0,0.63,0,0,0,0,0,789.49,0,0,414.26,199.17,1.35,1.86,2.08,0,1.69,6.41,12.21,2.88,350.42,85.18,24.48,0,1.38,1.55,6.96
 48-58,0,0,0,0,7.13,0,36.25,28.01,0,52.54,11.9,0,1.31,0.58,0,4.61,0,0,1300.72,0,1.12,201.21,212.18,5.76,1.52,0,0,0,0.81,0,0.4,34.93,0,27.74,0.42,0,0.48,17.28
 60-70,0,0,0,0,22.82,0,33.54,44.57,0,25.49,3.32,3.45,7.41,0,0,2.34,2.4,2.78,1931.89,0,41.82,136.18,139.78,3.64,2.85,0.65,0,18.7,1.48,0,0,11.83,0,25.45,20.69,0,0.73,3.3
 72-82,0,0,0,0,4.9,6.3,42.95,24.17,1.19,17.13,12.21,0,16.02,9.72,0,10.57,0,0,1724.12,0.61,22.85,118.95,108.21,0,0.7,0.5,0,53.54,2.36,0,0,5.26,0,0.99,38.29,0.82,9.06,12.86
 84-94,0,0,1.05,0,4.23,2.86,52.85,28.9,0,12.11,8.18,0,31.8,0,0,13.8,0,0,1479.36,0,17.23,103.67,78.54,4.26,0,0,0,21.91,1.49,0,1.63,11.54,0,6.32,74.23,0.57,10.19,0.88
 96-106,0,0,0,0,0.84,5.05,55.11,24.49,0,6.64,10.22,0.9,17.11,0.93,2.42,15.46,12.57,0,771.6,2.84,3.67,45.06,50.96,0,0,1.28,0,19.89,0.83,0,1.51,7.82,0,7.42,67.02,0.82,5.36,5.57
108-118,0,0,0,0,5.73,0.57,21.75,12.07,0.58,4.95,19.37,0,11.68,1.42,0,26.62,0,0,689.97,0,10,40.93,88.81,1.25,0,0,0,18.95,0,0,0,9.58,0,0,25.99,0,6.06,14.97
120,0,0,0,0,12.6,0,16.42,27.65,0,5.34,6.95,5.2,33.38,0,0,5.21,16.87,0,655.62,0,2.82,43.43,67.05,0,0,0,10.96,47.81,0,0,0,1.6,0,1.64,19.54,0,1.05,0
