stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,ionocyte,lateral.line,mesenchyme,mucous,neural,notochord,periderm,presomitic.mesoderm,spinal.cord,taste
  7-9,3.54,0,0,0,0,0,0,0,0,9.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,12.83,0,0,0,0,0
 14-21,0,0.81,0,0,0,0,0,0,0,0,0,0,1.01,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,2.6,0,0.81,0,0,0
 36-46,0,0.7,0,5.62,0,0,0,0,0,3.68,0,0.65,0,0,0
 48-58,0,0.39,0,4.09,0,0,0,0,0,0,0,0.4,0,0,0
 60-70,0,0,0.7,0,0.84,0,0,0.61,0,1.48,0,0.68,0,0,0
 72-82,0,2.86,0,0,0,0,0,4.08,0,1.89,0,0,0,0,0
 84-94,0,0.68,0,2.81,0.69,0,0.66,0,0,0,0,0.56,0,0.94,0
 96-106,0,2.36,0,0,0,0,0,0.98,3.12,8.51,0.81,0,0,0,0
108-118,0,3.65,0.98,3.67,0,0,0,0.61,0,3.57,0,0,0,0,1.01
120,0,7.82,0,3.07,0,1.76,0,0,0,0,0,0,0,0,0
