stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,161.45,1929.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.83,0,0,0,0,0,0,0,0,0
  5-6,189,4598.12,0,0,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,0,0,173.47,0,0,0,19.5,0,39.56,0,0,0,0,0,0,0,0,0
  7-9,87.75,52.55,0,85.49,0,0,137.69,0,0,0,0,52.82,0,0,0,0,0,0,0,0,0,0,0,1863.04,35.55,0,0,450.04,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.76,0,41.87,0,5.46,89.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692.6,28.88,0,0,279.05,0,3.1,0,28.95,0,0,0,0,0,0,0
 14-21,0,0,0,3.59,28.71,6.05,15.04,0,0,4.94,0,0,0,0,1.35,0,0,0,0,18.74,0,0,14.49,273.24,4.04,2.9,2.65,7,0,0,24.4,3.95,14.31,71.13,0,0,1.03,0,0
 24-34,0,0,0,1.7,4.57,2.84,41.29,0.62,0,12.25,1.64,0,0,1.04,0.59,0,0.68,0,0,26.66,0,0,6.11,397.48,0.83,0.73,0,0,0,3.82,0,1.46,2.8,88.09,0,0,1.13,0,1.74
 36-46,0,0,0.85,0,0,0,34.71,0,0,9.17,0,0,0,0,0,0,0,0,0.61,14.13,0,0,2.33,169.57,0,0,0.57,0,0,0,0,0,0,29.02,0,0,5.11,0,0
 48-58,0,0,0,0,0.63,0,49.79,0,1.16,10.73,0,0,1.74,0,0,0,0,0,0,13.2,0,0.54,2.33,88.07,6.91,3.55,5.14,0,0,0.57,0,0,0,24.21,0,0,0,0,0
 60-70,0,0,0,0,2.7,0,56.52,0,0,5.86,0,0,0,0,0,0,0,0,1.64,5.67,1.53,1.89,3.94,66.67,0.7,0,0,0,0,5.73,0,0.93,0,8.62,0,0,0,0,5.09
 72-82,0,0,0.56,0,4.04,0,17.52,0,0,9.72,1.02,0,0,0,0,0,0,0,0,21.58,0,0.94,3.18,36.28,0,2.32,2.74,0,0,0.6,0,0,0,0,0.92,1.36,1.03,0.93,0
 84-94,0,0,0,0,0.86,0,23.22,0,0,3.29,0,0,0,0,0.6,1.81,0,0,0,17.58,0,3.87,3.7,40.77,0,0.7,1.35,0,0,0.74,0,0,0,2.17,0,0,2.99,0,0
 96-106,0,0,0,0,0.77,0,7.26,0,0,5.32,0.69,0,0,0.57,0,0.63,1.34,0.86,0,11.15,0,0,2.46,22.02,1.43,1.07,2.09,0,1.47,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.18,0,15.08,0.52,0,9.04,1.42,0,0,0,0.44,1.03,0.53,0,0.53,12.64,0,0,3.27,29.81,0,2.91,2.41,0,0,0.83,0,0,0,0,0,0,1.35,0,0
120,0,0,0,0,4.84,0,12,0,0,31.43,0,0,1.54,0,0,0,0,3.74,0,10.43,0,1.26,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
