stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,83.25,1466.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.24,0,0,0,0,0,0,0,0,0,0
  5-6,21.26,908.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06,0,0,0,0,11.14,0,0,0,0,0,0,0,0,0,0
  7-9,24.3,47.9,0,24.15,0,6.96,0,93.47,0,0,0,0,0,50.06,0,0,0,0,0,0,0,0,0,0,0,669.78,18.71,0,0,229.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.46,0,15.11,0,11.83,0,100.13,0,0,0,0,0,32.97,0,0,0,0,0,0,0,0,0,0,0,538.03,5.66,0,0,289.17,3.81,0,74.69,0,0,5.88,0,0,0,0,0
 14-21,0,0,0,2.74,53.15,732.37,0,48.29,0,0,0,6.25,3.45,1.02,1.23,0,0.82,0,0,3.13,0,19.46,0,0,34.05,268.77,2.85,0.98,0,7.03,46.85,69.61,4.2,0,127.79,79.47,0,0,1.25,0,28.64
 24-34,0,0,0,2.47,12.21,1003.99,0,55.64,0.96,1.54,0,1.68,1.83,0,1.22,3.68,1.94,0,0.96,0.9,10.56,42.27,0,0,10.65,298.17,12.72,0,1.72,0,37.28,0,13.45,0.65,13.13,43.78,0,0,7.55,0,150.53
 36-46,0,0,0,0,1.29,189.37,0,66.56,0.96,0,0,10.39,3.21,0,0.57,1.94,0,0,0,0,9.06,21.23,0,0,6.05,213.03,0,0.68,0,0,37.64,0,1.2,2.06,0,36.7,0,0,7.53,0,165.9
 48-58,0,0,0,0,3.2,176.01,0,81.81,1.05,0.38,2.61,29.27,0.84,2.4,0.67,3.27,0.93,0,2.07,1.88,20.04,33.21,0,0.84,8.13,124.15,0,7.15,3.48,0,27.51,0,7.62,0,0,26.85,0,0.4,24.01,0,175.91
 60-70,0,0,0,0,14.99,86.06,0,63.99,0,1.14,1.23,12.28,6.43,0,0.78,6.41,0,8.55,3.88,2.9,1.24,33.34,0,2.32,2.97,127.46,0,0,0,0,17.09,0,2.41,0,0,4.59,0,0,7.74,0,85.3
 72-82,0,0,0.49,0,11.23,442.39,0,31.25,2.25,0,2.16,31.1,9.85,0,0.66,5.72,0.52,1.43,7.5,0.5,14.52,35.7,0,2.03,5.11,83.44,0,0,1.81,0,20.04,0,4.77,0,0,16.58,2.08,1.01,5.26,0,81.71
 84-94,0,0,0,0,11.75,361.4,0,58.41,0,5.11,1.54,21.79,15.35,0,2.48,5.75,4.68,9.42,0,1.61,6.76,33.28,0,2.34,3.57,82.98,1.17,0,0.66,0,81.71,0,5.15,0,0,11.43,0,0,7.38,2.61,50.15
 96-106,0,0,0,0,14.51,755.3,0,58.84,0.58,0,2.71,16.18,8.5,0,3.13,15.57,1.73,3.34,0,0,8.03,48.47,0,3.93,9.34,102.84,0.64,2.18,0,0,67.01,0,5.04,0,0,3.76,8.15,0,13.94,0.81,35.65
108-118,0,0,1.22,0,30.2,522.91,6.3,44.79,1.76,1.14,4.71,29.69,14.16,0,2.37,7.03,0,7.48,4.54,7.37,18.16,77.89,3.77,1,8.99,84.49,5.48,1.47,3.22,0,81.41,0,4.87,2.16,0,0,0,4.91,20.66,1.7,42.67
120,0,0,0,0,33.25,469.77,8.66,50,9.61,2.09,2.32,24.57,5,0,2.95,18.97,0,2.62,1.04,0,3.33,49.15,0,10.36,20.61,158.26,1.18,1.26,2.09,0,21.63,1.12,3.56,0,0,0,0,0,18.52,0,20.18
