stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,136.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,100.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.87,0,0,0,0,0,0,0,0,0,0
  7-9,6.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.98,0,0,0,22.87,0,0,4.85,0,0,0,0,0,0,0,0,0
 10-12,0,6.86,0,0,0,0,15.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.21,6.28,0,0,39.34,0,0,0,0,7.26,0,0,0,0,0,0,0
 14-21,0,0,0,9.63,0,0,0.89,0,0,0,0.98,0,0,0,0,0.96,0,0,0,0,7.9,0,0,6.24,38.6,0,0,0,0,0,0.91,0,6.52,2.27,7.28,19.71,0,0,1.01,0,0
 24-34,0,0,0,7.58,0,0,9.58,0,0.6,0,9.64,0,0,0,0.69,2.62,0.64,1.79,0.66,0.95,23.94,0.62,0,3.63,136.3,1.74,0,1,0,0,0,0,0,1.09,4.35,17.92,0,0,1.08,0,1.52
 36-46,0,0,0,13.73,0,0,21.43,0,4.59,0,5.96,0,0,2.25,0,0.61,0.56,0.6,0,5.93,23.23,0,0,9.03,186.34,0,1.32,0.85,0,0,3.85,0,0,0,0,30.35,0,0,3.48,0,12.79
 48-58,0,0,0,7.25,0,0,37.82,0,0,0,19.09,0,0.37,0,0,0,0,0,0,0,27.93,0.41,0.51,10.52,161.89,1.93,2.47,7.83,0,0,1.06,0,0,6.77,0,29.2,0,0,5.37,0,7.32
 60-70,0,0,0,7.73,0,0,73.7,0,1.86,11.81,25.69,0,4.08,0,4.21,0,0,1.62,0,0,46.26,0,2.86,3,147.06,0,7.19,1.24,0,0,2.33,0,0,5.96,0,59.93,0,0,21.32,0,15.35
 72-82,0,0,0.53,7.44,3.06,0,82.71,0,1.77,12.22,30.13,1.64,0,4.48,8.39,2.73,3.04,2.21,0,2.79,77.48,1.13,3.51,5.72,193.69,0.6,1.33,1.09,0,2.36,2.31,0,0,0,0,31.06,0,0.53,14.84,0.49,1.89
 84-94,0,0,1.23,11.08,0.86,0,41.92,0.56,0,0.74,27.68,0.99,2.11,0,2.98,1.3,2.51,2.86,0,2.53,59.52,0.81,0.72,6.55,84.75,0.9,0.93,0,0,0,11.35,0,0,0,0,14.34,0.66,0,16.83,1.33,1.57
 96-106,0,0,0,10.57,15.32,1.52,51.41,0,2.47,1.01,33.36,2.25,0,4.45,7.63,4.05,1.2,1.89,0,0.69,55.89,1.44,6.56,7.89,110.18,0.7,4.23,6.22,0,0,13.28,0,0,0,0,0,4.22,2.38,13.96,2.99,3.29
108-118,0,0,1.04,11.67,0,1.23,49.7,0,8.45,1.55,27.15,5,0,0,2.52,2.69,3.6,6.87,4.87,4.11,26.68,1.08,3.48,4.46,109.56,1.26,4.72,2.64,0,0,8.88,0,0,0.64,0,0.47,1.69,2.34,11.85,0,1
120,0,0,0,10.99,8.35,2.68,8.99,0,9.9,0,28.99,7.81,0,4.12,12.44,5.76,0,5.69,4.3,1.33,43.94,0,0,6.29,111.58,7.1,2.89,8.67,0,0,7.77,0,0,1.47,0,0,0,3.24,9.99,10.35,0
