stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,3.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,3.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48,0,4.18,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.7,0,2.09,0,0,0,0,0,0,0,0,0,0,0,0,16.36,0,0,0,0,2.17,0.89,0,6.23,0,0,0,0,0
 24-34,0,0,0,0,0,2.01,0,0,0,1.01,0,0,0,0,0,0.7,0,0,93.66,0,0,0,0,0,2.89,0.6,15.84,0,0,2.73,0,0
 36-46,0,0,0,0,0,0.86,1.75,0,0.63,0.67,1.79,0,0,0,1.22,1.35,0.71,0,104.22,0,0,0,0,0,2.25,0,11.73,0,0,0,0,1.87
 48-58,0,0,0.42,0,0,10.21,0,0,0,0,6.64,0,0,7.7,11.92,2.4,0,0,122.98,0,0,0,0,0,0,0,9.54,0,0.98,0.52,0,11.08
 60-70,0,0,0,0,0,51.98,0,2.5,0.63,0,0.79,0,0.61,0,7.36,7.63,0,0,179.65,0,0,0,7.98,0,0,0,5.89,0,0.71,0.79,0,17.31
 72-82,0,0,0,5.46,0,82.8,0,0,5.9,0.73,4.48,3.31,0,5.12,1.45,18.16,0,0,216.47,0,0,1.4,0,0,3.98,0,4.88,0.5,0.56,1.71,0,27.21
 84-94,1.78,0,2.1,0,0,96.15,0,0,5.31,1.71,0,1.55,0,3.53,6.83,6.77,0.57,0.68,137.41,7.38,0,0,0,0,0,0,10.25,0,2.94,0,2.25,19.45
 96-106,0,0,4.15,0,0,81.5,0,0,6.02,1.1,3.18,3.32,0,0.79,2.02,6.32,0,2.29,122.32,0,0,0,0,0,0.69,0,6.2,0,1.63,0,5.26,11.04
108-118,0,1.74,0,0,4.79,113.52,0.78,0,8.01,0.74,0,2.07,0,18.76,13.6,6.97,0,0,230.14,0,0,0,0,0,0,0,2.95,0,0,0,3.39,37.98
120,0,2.55,8.01,0,0,95.07,0,0,0,0,0,5.71,0,10.47,0,12.46,0,2.35,416.28,0,0,0,0,0,0,0,4.57,0,0,0,0,1.16
