stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,immune,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,pronephros,spinal_cord,vasculature,xanthophores
  3-4,47.56,1181.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,146.98,718.27,27.25,0,0,0,0,0,0,0,0,0,0,21.3,0,0,0,41.61,0,0,0,0,0,0
  7-9,40.51,0,10.33,0,0,23.88,0,0,12.72,0,0,0,0,166.8,4.03,0,0,75.46,0,8.56,0,0,0,0
 10-12,0,8.02,23.95,0,9.23,3.85,0,0,4.67,0,0,0,0,208.28,7.35,0,0,47.11,0,0,11.81,0,0,0
 14-21,0,0,0,1.63,0,0.85,0,1.41,0,0,6.36,0,0,10.53,0.81,0,0,0,0,0,0,1.18,0,0
 24-34,0,0,0,0,0,0.65,0,0,0,0,7.48,2.43,1.38,9.05,0,0,0.65,0,0,0,0,0,2.28,0
 36-46,0,0,0,0,0,1.6,0,0,0,0,5.54,0,0.73,8.72,0,0,0,0,0,0,0,0,4.45,0
 48-58,0,0,0,0,0,0,1.34,0,0,0,6.86,0,1.06,2.54,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.93,0.98,0,0,6.8,1.36,0,0.95,11.93,0,1.82,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.23,3.28,0.68,0,0,0.67,1.57,0,0,6.12,0,0,0,0,0,0,0,1.6,0,1.17
 84-94,0,0,0,0,0,1.18,0,0,0,5.73,0.78,0,0,9.32,0,0,2.26,0,2.56,0,0,0,4.71,0
 96-106,0,0,0,0,0,3.26,0,0,0,1.34,4.16,0,0.95,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.2,0,0,0,11.59,5.08,0,0.6,4.86,0,0,0,0,0,0,0,0,2.39,0
120,0,0,0,3.26,0,4.08,0,0,0,10.42,8.74,0,0,3.32,0,0,0,0,0,0,0,0,2.84,0
