stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.83,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.96,0,0,0,0
 14-21,0,0,0,1.58,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,0,0,0,0,0,0
 24-34,0.83,0,0,3.95,0,0,0,0,0,0,2.47,0,0,0,6.7,0,0,0,1.44,0,0,2.1,0,0,0
 36-46,0,0.55,0,2.01,0,0,0,0,0,0,2.66,0,0,0,5.12,0,1.69,0.57,8.65,6.2,0,14.59,0,1.94,0
 48-58,0,0,0,10.86,0.47,0,1.15,0,0,0,2.3,0,0,0.41,13.48,3.02,0,0.37,4.39,0,0,0.58,0,1,0
 60-70,0,0,0,4.52,0.62,0,0,0,0,0,1.67,0,0,0,13.05,0,0,0,6.06,0,0,0,0,0,0
 72-82,0,1.98,0,12.66,7.05,0,0,0,0,0.49,11.51,0,1.54,0,13.37,0,0,0,0,0,0,2,0,6.13,0.63
 84-94,0,0,5.27,2.71,6.03,0,0,0.66,0,0,2.33,2.28,0,0,3.12,0,0,0,2.07,0,0,0,0.81,0,0
 96-106,0,2.42,0,9.09,7.75,0.59,0,0,0.9,0,16.08,0,0,2.44,9.42,0,2.66,0,6.29,0,0,0,0,0,0
108-118,0,1.77,0,8.44,0.77,0,0.88,0,0,3.63,9.73,0,0,0,4.88,0,0.54,0,5.88,0,0,0,0,5.23,0
120,0,0,0,1.08,7.31,1.34,0,0,0,0,6.74,0,0,4.57,9.85,0,0,13.69,1.08,0,0,0,0,0,0
