stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,somites,spinal.cord
  5-6,8.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,4.01,6.16,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.11,3.24,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,3.01,0,0,2.62,0.94
 24-34,0,0.59,1.1,0,0,0,0,1.16,0,8.08,0,0,0,1.6
 36-46,0,0,0,0,0.72,0,0,0,0,14.11,0,0,0,0
 48-58,0,0,0,0,1.3,0,0,0,0,3.07,0,0,0,0
 60-70,0,0,1.44,0,0,0,0,0,0,5.69,0,8.05,0,1.17
 72-82,0,0,0,4.61,0.9,0,0,0.81,0,3.79,0,0,0,0
 84-94,0,0,0,0,0,0,1.65,0,0.98,1.47,0,0,0,0
 96-106,0,0,0,0,1.01,0.93,0,0.6,0,1.2,0,0,0,0
108-118,0,0,1.19,0,1.04,0,0,0,0,0,0,1.05,0,0
