stage,blastomeres,epidermis,eye,glial,gut,muscle,neural,somites,spinal.cord,vasculature
  3-4,11.83,0,0,0,0,0,0,0,0,0
 10-12,3.56,0,4.95,0,0,0,10.44,0,0,0
 14-21,0,0,0,0,1.28,0,12.48,1.15,3.79,0
 24-34,0,0,1.87,0.89,0,0.67,29.55,0.67,3.98,0
 36-46,0,0,1.4,0.74,0,0,15.57,0,0,0
 48-58,0,0,0.98,0,0,0,1.01,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0.72
 72-82,0,0,0,0,0,0,0.67,0,0,0
 84-94,0,0,0,1.78,0,0,0,0,0,0
108-118,0,3.11,0,0,0,0,0.52,0,0,0
120,0,0,6.06,0,0,0,3.02,0,0,0
