stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,21.3,812.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.01,0,0,0,0,0,0,0,0
  5-6,36.93,578.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.62,0,0,0,0,0,20.41,0,0,0,0,0,0,0,0
  7-9,16,0,0,21.16,0,0,0,0,0,0,0,0,111.47,0,0,0,0,0,0,0,0,0,0,0,437.47,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.5,0,0,0,0,3.23,0,0,0,0,0,3.97,0,0,0,0,0,0,0,0,0,0,0,194.83,9.06,0,0,26.21,0,0,4.37,0,0,0,0,0,0,0
 14-21,0,0,3,1.03,1.94,0,3.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,264.73,0,2.83,0,0,0,2.28,0,0,1.21,85.52,0,0,0,0
 24-34,0,0,1.57,0.86,2.71,0,11.36,0,0,0,1.53,0,0,2,0,0,0,0,0,0,3.87,0,0,11.27,2506.17,0.69,22.64,1.55,0,0,2.48,0,0,2.5,331.5,0,0,0,0
 36-46,0,0,1.4,0,4.62,0,93.5,0,0,1.14,23.02,0,0,0.65,0,0,0,0,0,0,8.04,0,0,1.55,5804.02,5.25,11.87,0,0,0,0,0,0,0,745.05,0,0,2.8,0.81
 48-58,0,0,0,0,33.59,3.21,343.87,3.1,0,0,102.52,0,0,0.69,0.8,0,5.11,0,3.95,7.74,34.35,1.37,7.67,5.56,5963.23,1.2,7.98,0.38,0,0.56,9.54,0,0,0,851.49,0,0.64,2.38,5.65
 60-70,0,0,0,0,18.37,0,606.76,3.79,0,1.48,37.08,0.85,0,0,0,0,1.91,0.77,0,0,23.27,0,0,0.65,4829.68,5.48,5.94,0.63,0,0,0,0,0,0,801.85,0,0,1.09,10.33
 72-82,0,0,5.53,0,19.69,0,356.78,0,0.71,7.74,43.71,0.62,0,0.58,0,0.54,0.62,0,0,0,37.75,0,0.93,1.31,3298.29,0,10.51,6.82,0,1.77,3,0,0,0,307.02,0.94,0.75,0,0
 84-94,0,0,2.12,0,20.52,3.24,300.59,0,0.95,1.34,32.41,0,0,1.82,0.59,0,0.71,0,0,0,39.77,0,3.21,0.91,2137.33,0,4.53,10.64,0,0,5.21,0,1.3,0,253.29,0,0,10.63,0
 96-106,0,0,4.54,0,14.24,16.46,226.95,2.84,10.23,0.68,24.96,2.7,0,0.99,0.58,2.25,5.53,1.44,8.31,0,23.01,0.6,2.17,0,1859.91,0,8.24,2.28,0,0,11.89,0,3.26,0,63.76,0.82,1.45,6.37,3.79
108-118,0,0,0.41,1.47,9.26,1.99,202.91,0,1.12,0,25.13,1.64,0,2.95,1.9,0,6.39,0.61,0.6,1.75,18.28,2.28,0,3.24,1770.69,0,8.27,16.06,0,0,2.97,0,0.62,0,51.19,0.91,0,3.01,0
120,0,0,0,0,27.16,3.04,319.88,37.52,1.16,19.12,67.65,0,0,0,0,0,2.6,0,0,0,42.25,0,0,1.5,2124.86,0,19.42,24.66,0,0,5.14,0,0,0,66.86,0,0,5.97,0
