stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.61,428.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.66,85.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.23,0,0,0,0,8.18,0,0,0,0,0,0,0,0,0,0
  7-9,6.78,0,0,0,0,0,0,13.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.31,0,0,0,5.03,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,4.5,0,0,0,0,0,6.69,0,0,0,0,0,0,0,0,0,0,0,37.59,4.69,0,0,32.97,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,1.03,3.98,0,0,2.55,0,0,0,2.38,0,0,2.22,0,0,0,0,0,0,0.89,0,0,0,25.71,7.24,0,0,0,3.39,4.38,0.86,9.76,10.79,6.22,0,0,0.99,0,0
 24-34,0,0,1.05,0.68,9.71,6.68,0,8.9,0,0,0,0.66,0,0,0,0.68,0.66,0,0,2.55,0,6.92,2.5,0,4.02,91.56,1.36,2.1,5.28,0,33.75,0,0,1.62,0,16.28,0,0,1.96,0,3.18
 36-46,0,0,0,0,2.7,2.16,0,7.29,5.65,0,0,5.55,0,0,1.84,0,0.93,0,2.59,0,0,16.59,1.35,0,1.29,90.55,0.57,7.67,0.8,0,22.72,0,0,0.59,0,24.4,0,0,2.72,0,2.51
 48-58,0,0,0,0.43,1.57,0.51,0,28.87,3.25,0,2.76,21.06,0,2.37,0.97,1.76,7.7,0.5,0.85,0,6.87,14.82,2.17,0,2.63,125.61,0,3.26,3.84,0,16.34,0,1.29,3.33,0,37.31,0,0,6.51,0,3.98
 60-70,0,0,0.57,0,17.01,8.88,0,76.83,4.38,3.01,1.85,26.82,1.59,1.75,0,0.78,2.14,0.67,0.66,1.82,4.76,56.03,5.1,0,1.97,176.97,0,8.98,7,0,40.92,0,1.36,7.92,0,16.65,0.61,1.06,0,0.81,0.69
 72-82,0,0,1.91,0,14.54,35.67,0,54.32,2.02,0,12.83,52.6,0.54,0.65,0,9.67,2.6,0,4.54,0,0.51,89.87,3.29,3.47,10.16,153.27,0.89,3.11,16.89,0,25.85,0,0,0,0,11.78,0,3.71,16.58,0,14.56
 84-94,0,0,0,0,10.54,34.32,0,38.29,3.66,1.14,10.9,31.66,1.6,0,1.27,3.01,3.55,0,2.52,0,0,55.89,13.61,0,11.66,68.49,0,6.91,7.83,0,66.55,0,1.97,2.41,0,20.72,1.55,3.41,8.85,3.11,0
 96-106,0,0,0.89,0,12.07,60.36,0,86.68,3.4,5.97,0.75,30.52,3.51,0,2.29,4.06,1.26,1.85,5.9,0.76,0,69.39,12.01,0.73,3.43,128.36,0.62,14.3,28.04,0,38.25,0,1.42,3.8,0,10.11,0.61,1.68,7.34,1.46,10.43
108-118,0,0,0.92,0,29.28,19.86,0.81,65.5,11.54,4.08,2.87,38.29,1.46,0,4.03,8.26,10.07,3.02,5.52,9.66,3,71.61,6.03,4,3.25,161.65,0.47,5.93,18.88,0,59.41,0,0.54,6.84,0,10.24,1.58,0,7.46,6.03,11.01
120,0,0,4.41,0,25.36,39.27,0,53.17,19.84,9.69,5.91,83.48,5.07,0,0,21.05,9.58,3.04,11.43,5.94,0,107.42,1.59,16.09,18.28,569.7,2.52,1.09,38.99,0,56.26,2.24,5.31,15.33,0,5.07,0,0,11.46,3.93,2.85
