stage,axial,blastomeres,epidermis,eye,fast_muscle,gut,hatching_gland,iridophores,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord
  3-4,0,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.98,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0
  7-9,3.57,0,0,0,0,0,4.27,0,0,0,55.11,5.77,0,20.98,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,26.26,4.42,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,0,1.02,0,0,0.97,0
 24-34,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0.83,5.43
 36-46,0,0,0,0,0,0,0,0,0,0,1.67,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,1.14
 60-70,0,0,0,2.41,0,0,0,0,0,0,0,0,0,0,0,1.2
 72-82,0,0,0,0,0,0,0,0,0.72,0,4.78,0,1.09,0,0,0
 84-94,0,0,0,3.54,0.69,0,0,0,4.27,0,0.65,0,0,0,0.83,0
108-118,0,0,0,0,0,0,0,0.44,0,0.71,2.64,0,0,0,0,0
120,0,0,0,0,0,2.98,0,0,0,0,3.77,0,0,0,0,0
