stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,50.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.15,60.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.17,0,0,0,17.03,0,0,0,0,0,0,0
 10-12,0,0,0,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.19,0,0,0,61.29,0,0,10.89,0,0,0,0
 14-21,0,0,0,0,5.02,0,0,1.27,0,0,0,0,0,0,0,0,0,1.01,0,2.07,11.74,0,0,0,0,0,2.51,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,2.49,0,0.97,0,0,0,0,0,0,0,0.74,0,1.51,30.02,0,0,0,0,0,0,0,12.97,0,0,0
 36-46,0,0,0,0,0,0,0,3.57,0,0,0.64,0,0,0,0,0,10.2,0,0,0.67,111.1,0.71,3.48,13.86,0,0,0,0,12.36,0,0,0
 48-58,0,0,0.54,0,0.43,0,0,7.22,0,0,7.13,0,0,0,0,0,6.77,0.99,0,0,130.46,0,0,0,0,3.26,0,0,15.5,0,2.69,0
 60-70,0,0,0,0,0,0,0,30.47,0,0,0,0,0,0,0,0,0,5.26,0,0,250.04,0,0,0,0,0,0,0,27.99,0,1.31,0
 72-82,0,0,0,0,0,0,0,57.39,0,0,8.57,3.43,0,0,0,0,4.05,6.62,0,1.15,382.58,0,0.97,3.73,0,0,0,0,17.61,0.85,3.63,0
 84-94,0,0,0,0,1.46,0,0,68.64,0,0,5.45,0,0,1.53,0,0.6,23.96,2.62,0,0,264.22,0,0.95,0,0,0,0,0,19.84,0,10.27,0
 96-106,0,0,0,0,2.4,7.44,0,42.56,0,0,10.53,3.98,0,0,0.75,18.2,8.17,5.24,0,0,229.54,0,0,22.04,0,1.86,0,0,4.33,0,9.68,0
108-118,0,0,0,0,2.91,0.84,1.13,40.07,0,0,7.03,0.43,0,0,0,3,8.69,1.58,2.05,0,343.56,0,2.34,0.51,0,0,0,0,6.01,0,0.44,6.35
120,0,0,0,0,2.07,0,0,20.45,11.4,0,0,0,1.12,0,0,0,1.33,7.67,0,1.91,318.86,1.42,0,3.38,0,0,0,0,6.61,0,0,0
