stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.39,234.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.43,180.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.81,0,0,21.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289.94,24.37,0,0,187.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,27.15,32.23,0,0,21.28,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,402.04,48.52,0,0,351.38,0,0,0,0,54.04,0,3.87,0,0,0,0,0
 14-21,0,0,2.71,17.5,8.11,14.58,0,0,0,15.8,0.81,0,0,0,0,0,0,0,0,19.84,0,0,24.89,470.33,8.35,0,0.88,17.21,0,2.48,0.86,161.82,0,6.31,94.69,128.46,0,0,0,0
 24-34,0,0,1.03,7.26,0,43.17,0,0,1.37,25.04,0,0,1.43,0.67,1.75,0,0.65,0,0.65,116.33,3.14,0,40.12,1140.15,6.97,6.34,2.28,0,0,1.6,0,0.76,1,0,28.54,268.21,0,25.1,0,0
 36-46,0,0,0,9.29,0,51.38,0,2.29,1.21,81.01,0,0,1.64,2.16,0,0,0,0,0.7,194.96,0.63,3.34,40.97,772.81,5.24,8.5,0,0,0,0.91,0,0,0,0.58,0,259.67,0,19.67,0,0
 48-58,0,0,0,2.95,0,102.97,0.85,1.38,5.32,100.03,0,0,0.4,0,0,0,0,0.48,1.11,247.08,1.2,2.18,20.51,367.06,7.46,1.17,1.22,0,0,0.38,0,0,0,0,0,131.43,0.42,6.35,0,0.44
 60-70,0,0,0,8.94,0.83,71.67,0.8,14.03,0.98,169.34,0,0,1.32,3.92,1.02,0,0.7,0,0,569.87,0.58,0.62,21.84,230.91,1.77,1.19,3.85,0,2.03,0,0,0,0,0,0,108.25,2.46,0,2.72,1.18
 72-82,0,0,0.75,1.87,0.83,58.3,0.5,3.46,10.05,117.22,0,0,3.88,2.88,0,0,0.53,3.3,1.81,546.94,3.65,10.19,18.32,188.36,2.94,1.09,0,0,1.61,1.43,0,0,0,0,0,49.48,17.29,16.8,6.01,0
 84-94,0,0,0,4.08,7.12,81.08,0,0.68,0.64,120.45,2.88,0,4.27,8.77,1.17,0,1.23,0,0,645.02,2.9,9.42,7.68,137.71,0.62,1.04,2.91,0,0,7.08,0,0,0,0,0,33.65,9.22,18.76,16.5,0
 96-106,0,0,0,5.92,0,47.47,0,0,2.21,118.26,1.53,0,0,3.82,0,1.2,1.05,0,0,419,7.9,7.16,10.32,134.37,2.64,5.46,4.07,0,0,3.66,0,0,0.87,0,0,40.98,13.89,11.56,7.1,0
108-118,0,0,0,2.99,7.5,43.99,6.93,4.01,4.6,113.2,0.84,0,4.94,9.01,0,3.27,1.84,0,1.34,404.61,4.65,5,5.11,129.84,3.56,3.48,2.76,0,1.05,1.45,0,0,0,0,0,31.74,10.73,7.67,8.85,0
120,0,0,0,12.68,0,21.44,1.06,4.23,0,211.17,0,0,0,15.48,4.42,0,3.53,0,0,363.32,0,3.51,9.53,201.34,3.89,0,1.8,0,0,0,0,0,0,0,0,1.53,30.91,26.47,19.63,0
