stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,muscle,neural,otic,spinal.cord,vasculature
 24-34,0,0,0,0,0,0,0,0,1.26,0,2.14,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.29,0
 48-58,0,0,0,0,0,0,0.49,0,3.23,0,3.53,0
 60-70,0,0,0.96,0,0,0,0,0,0,0,2.59,0
 72-82,0,0,7.4,0,1.18,2.05,0,0,14.1,0,2.37,0
 84-94,0,1.33,0.7,0,0,6.55,0,0,7.81,0,0,0
 96-106,0,9.63,0,0,0,3.6,0,0,19.12,0.65,10.59,1.38
108-118,0,4.33,6.04,0,0,1.91,0,1.3,8.9,0.88,2.54,0.89
120,3.83,11.41,0,1.16,0,0,0,2.36,18.66,0,9.81,0
