stage,blastomeres,epidermis,eye,glial,gut,iridophores,mesenchyme,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  5-6,7.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.97,0,0,0,0,5.09,10.17,0,10.44,0,0,0,0
 24-34,0,0,0,0,0,0,4.35,3.92,0,0,0,0,0,0,0
 48-58,0,0,0,1.2,0,0,0,2.63,0.97,1.36,0,0,1.32,0.74,0
 60-70,0,0,0,33.02,2.01,2.52,0,0.79,0,5.85,0,0,0,0,0
 72-82,0,0,0.65,27.95,0,0,2.37,10.48,0,0,0,0,5.78,0,0
 84-94,0,2.72,6.44,11.82,0,0,3.02,1.03,0,0,0,0.92,3.07,7.65,0
 96-106,0,0,0,5.44,0,0,0,3.71,0,0,0,1.58,0,0,0
108-118,0,0,0,3.51,0,0,2.29,3.76,0,0,0,0.79,0,0,0.59
120,0,0,0,111.29,0,0,0,4.61,0,0,0,0,0,0,0
