stage,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1.74,16.34,1.77,0,0,0.82,0.85,0,0,0.84,0,0.93,6.68,0,0,2.87,54.92,1.86,0,0.89,0,2.48,5.17,0,1.54,13.05,20.72,0,0,0
 24-34,0,4.07,7.12,0,0,4.2,0,0,0,0,0,0,10.37,0,0,8.19,185.41,0,0.72,0.63,0,9.09,0,0,0,2.94,54.43,0,3.16,0
 36-46,0,0.65,13.99,0,0,24.41,0,0,0,0,0,0,23.22,0,0.77,4.86,283.65,1.97,1.29,0.75,0,10.52,0,0,0,0,59.91,0,2.19,0
 48-58,0,0.76,20.11,0.53,1.84,34.06,0,0,0,0,0,0,23.61,0,0,1.66,201.56,0.56,0,0,0,0,0,0,0,0,45.69,0,5.12,0
 60-70,0,0.66,27.24,0,0,19.76,0,0,0,0,0,0,31.4,0,0,1.08,137.71,0,0,0.78,0,15.01,0,0,0,0,30.68,0,0,0
 72-82,0,1.34,14.17,0,0,14.16,0.63,8.52,0,0,0,0,28.11,0,1.34,2.96,106.71,0,0,4.42,0,0,0,0,0,0,1.29,0.56,7.15,0
 84-94,0,1.41,20.95,1.38,0,4.6,1.47,0,0,0,0,0,32.65,0,0,3.26,68.6,0,3.17,0,0,17.04,0,0,0,0,13.34,0,14.06,4.54
 96-106,0,1.72,21.79,0,1.01,11.02,0,0,0,0,2.59,0,20.37,0,0,0,56.46,0,0,0,0,8.11,0,0,0,0,1.76,1.21,9.3,0
108-118,0,1.53,25.96,0,0,26.06,0.42,0,0,2.27,0,0,27.65,1.84,2.23,0,77.06,0,0,4.69,3.28,1.9,0,0.62,0.53,0,1.1,0.54,1.79,0
120,0,1.35,39.26,0,0,30.7,0,0,1.01,3.69,1.91,0,30.61,1.56,2.08,1.58,119.17,0,0,2.2,5.46,1.78,0,1.02,0,0,0,5.68,0,10.63
