stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.41,0,0,0,9.17,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,5.51,2.26,0,0,1.94,26.17,0,0,0,0,0,0,0,0
 48-58,0,0,34.1,0,0,0,0.47,0,0,0,0,0,1.48,0,0,6.03,14.3,0,0,0,0,0,0,0,0
 60-70,0,0,275.96,0,0,0,2.18,0,4,0,0,0,2.68,0,0,27.15,35.5,0,0,0,1.89,0,0,0,0.7
 72-82,2.05,0,297.4,0,1,0.71,10.72,0,0,0,0,0,16.72,0,0.57,77.94,44.6,0,0,0,0,0,0,3.85,2.27
 84-94,0.66,0,325.69,0,0,4.38,7.81,0,0,0,0,0,10.99,0,0,50.93,61.35,0,1,0,20.06,0,0,0,0
 96-106,3.26,3.01,832.07,0.69,0,0,6.69,0.69,0,2.39,0,0,13.65,0,0,84.99,287.5,0,0,0.87,0,3.15,2.74,0,0
108-118,1.59,1.32,932.59,0,0,1.26,8.03,0,0,0,0,0,19.79,1,3.08,93.37,136.08,5.22,1.31,0,1.9,0,0,2.7,0.65
120,2.59,0,604.12,0,21.39,63.69,5.66,0,0,0,1.23,0,9.97,0,3.87,151.23,183.32,9.36,0,2.39,0,0,0,0,0
