stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  5-6,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.41,0,0,18.79,0,0,0,0,0,0
 14-21,0,6.08,0,0,0.87,0,0,0,0,0,10.83,0,1.03,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.97,0,0,263.99,0.61,0,1.82,0.81,0,0.73,1.42,9.52,0.72,0,0,0,0,6.56,0.82,0,0,0
 36-46,0,2.22,0,0,0,0,2.18,0,0,0,0,6.07,9.56,1.14,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.69,0,0,0.96,0.67,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,34.48,0,0.59,0,0.94,0,9.76,0,0,0,0,0,0,0
 72-82,0,0,0,1.02,0,0,0,0,0,29.36,10.97,0,0,0,0,0,0,0,0,0,0.76,0,0
 84-94,0,0,0,8.95,0,0,6.57,0,0,68.63,0,5.46,0,2.49,0.99,0,0,1.59,0,0,0,0,6.46
 96-106,0,0,0.97,7.95,11.52,0,0,0,0,101.22,0,3.14,0,10.7,1.95,0,0,0,0,0,0,2.81,6.2
108-118,0,0,0,4.63,0,0,0,0,0,167.15,0,52.35,0,8.29,9.52,0,0,0,0,0,0,0,0
120,0,0,0,0,1.49,0,0,0,0,303.83,0,0,0,32.11,3.12,0,0,1.57,0,0,0,0,0
