stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,28.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0
  5-6,59.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.26,0,19.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.54,3.59,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.45,0,0,0,0,0,4.57,0,0,0,0,0,10.76,0,0,0,0,0,0,0,0,0,0,0,163.74,0,0,0,76.34,0,0,0,0,12.04,0,4.75,0,0,0,0,0,0
 14-21,0,1.13,0,10.96,0,0,3.74,0,0,0,0,2.06,0,0,0,0.97,0,0,0,0,2.62,0,0,2.77,161.49,11.91,5.89,0,0.99,0,0,0.9,8.67,0,1.79,46.51,73.05,0,0,1.08,0,0
 24-34,0,1.95,0,8.21,0,0,29.24,0,3.33,0,0,0,0,2.16,0,2.39,0,0.96,0,0.98,13.49,0,0,0.71,1302.45,13.3,14.57,0,0,0,0.83,0,0,0.78,0,6.15,292.05,0,0,5.47,0,0.81
 36-46,0,0,0,5.9,0,0,253.34,1.54,0,0,7.87,0,0,2.35,0,0,0,0,10.06,0,12.16,0,0,1.23,4448.01,4.54,36.85,7.32,0,0,2.43,0,0,0,0,0,698.16,0,0,3.94,0,2.12
 48-58,0,1.65,0,15.13,0.9,0,1339.99,0,6.7,1.32,83.7,0,16.55,1.42,7.45,0.48,7.88,0,7.85,3.53,46.19,0,1.33,11.7,7298.13,1.64,8.2,0.69,0,0.56,3.09,0,0,0,0.55,0,1046.89,0,0,2.62,0,21.1
 60-70,0,0,0,2.86,0,0,4806.17,3.1,1.49,11.31,197.02,4.36,4.89,6.64,10.25,0.86,0,0,12.6,6.33,58.19,0,0,8.66,9682.2,0.71,12.15,2.77,0,0,7.02,0,0,10.6,0,0,1300.6,0,0,2.75,0,11.17
 72-82,0,14.08,0,52.46,29.77,0,7196.57,0,13.05,6.79,446.56,16.78,1.77,2.07,13.67,1.79,13.63,4.79,5.32,1.32,110.93,8.27,10.32,6.4,10401.24,0,21.99,4.08,0,7.12,19.39,0,0,0.64,0,0,1265.55,5.33,5.06,16.99,7.79,23.72
 84-94,0,11.55,1,89.3,27.57,0,5784.31,4.28,3.16,4.19,446.47,31.72,6.79,8.07,5.75,6.22,10.62,1.61,0,0,96.76,3.35,16.28,11.49,7544.77,1.25,15.18,15.93,0,1.66,19.03,0,0,0.73,23.69,0,926.57,6.68,2.01,20.52,1.4,27.6
 96-106,0,27.63,0,88.11,30.22,3.15,6864.6,1.36,8.09,3.84,633.11,35.99,0,1.69,9.96,5.23,3.79,6.27,18.2,1.26,96.64,5.68,4.25,9.69,6822.06,0,25.12,1.94,0,0.81,26.48,0,0,0,0,0,508.89,6.74,3.84,14.04,0.59,25.45
108-118,0,11.34,1.59,111.63,10.22,15.37,5897.06,1.3,2.79,3.5,636.83,54.79,5.48,4.58,7.9,2.83,1.44,1.47,20.79,6.58,101.23,3.53,3.95,4.54,9282.59,2.19,21.18,33.76,0,0,19.19,0,0,0,0,0,411.99,16.03,1.23,12.23,4.27,13.41
120,0,41.81,0,123.23,20.6,0,4760.25,0,1.16,21.92,1090.91,92.78,0,4.89,25.85,1.65,2.23,26.66,48.67,0,151.91,2.78,1.38,15.94,14391.04,0,50.11,7.81,0,0,11.9,0,0,1.22,1.32,0,557.96,17.03,8.19,9.51,10.18,0
