stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.18,545.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.29,547.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.02,8.7,0,0,0,0,15.15,0,0,0,0,0,0,0,0,0
  7-9,6.8,16.98,0,7.37,0,0,0,38.94,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,313.84,30.19,0,0,113.84,0,0,12.07,0,0,0,0,0,0,0,0
 10-12,0,27.72,0,34.87,0,6.13,0,30.18,0,0,0,0,7.05,0,0,0,0,0,0,0,0,0,0,445.49,3.1,0,0,112.79,0,0,4.37,0,41.44,0,0,0,0,0,0
 14-21,0,0,0,0,5.64,2.21,0,1.04,0,0,0,0,0,0,0,0,0,0.92,0,0,4.08,0,6.14,51,0.85,0,0,0,0,0,0,2.46,0.99,3.95,16.63,0,0.85,0,0
 24-34,0,0,0.75,0,2,0.84,0,2.31,0,0,0,0,0,0,11.32,0,0,0,0,1.71,6.96,0,0,146.75,0,4.04,0,0,0,0.88,0,0,0,0,33.53,0,2.17,0,0
 36-46,0,0,0,0,0.67,0,0,10.53,0,0,10.87,0,0,0,0,0,0.65,0,0,0,2.06,0,1.48,230.37,0,6.38,0,0,0,3.32,0,0,0,0,38.8,0,0.65,0,0
 48-58,0,0,0,0,4.38,2.12,0,40.8,0,0,24.81,0,0,0.5,6.16,3.66,0,0,0,4.89,10.74,0,0,271.95,0,0.91,0,0,0,0,0,0,0.53,0,40.21,0,0,0,0
 60-70,0,0,0,0,1.6,0,0,62.93,0,0,20.11,0,0,0,0,0,0,0,0,0,15.44,3.05,0,286.74,0,1.12,0,0,0,0,0,0,0,0,29.75,0,0,0,0
 72-82,0,0,0,0,0.49,1.29,0,108.16,0,0.6,23.1,0,0,0,0.52,0,0,0,7.38,0,32.62,1.42,4.93,387.26,0,4.41,0.52,0,0,0,0,0,0,0,38.7,0.76,2.71,0,7.98
 84-94,0,0,2.82,0,2.45,0,0,59.91,0,5.75,22.73,0.81,0,0,1.27,0.68,0,0,0.96,0.99,30.07,2.83,0,241.72,3.37,0,0,0,0,10.27,0,0,1.61,0,18.49,0,3.26,6.1,0
 96-106,0,0,2.22,0,2.46,1.48,0.77,38.04,0,0,25.95,0,0,1.91,0,0,0,0,0,0,18.4,0,1.57,157.23,0,4.61,1.97,0,0,2.89,0,0,0,0,7.86,0,1.31,0,0
108-118,0,0,0,0,6.18,1.78,1.83,57.2,1.69,0.83,35.25,0.45,0,0.56,2.18,0,1.59,0,1.1,0,33.78,3.83,2.67,329.82,0.45,5.03,0.49,0,4.98,1.41,0,0,0,0,4.37,0,9.71,0.57,0
120,0,0,0,0,11.07,0,0,89.97,1.58,0,12.59,0,0,1.61,0,0,0,0,0,0,28.2,0,1.28,345.45,2.12,0,0,0,0,5.39,0,0,0,0,21.82,0,0,0,0
