stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.01,0,0,3.97,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1,0,0,4.65,0,0,0,0,0,0,0,0
 14-21,0,0.87,0,0,2.3,0,0,0,0,0,0,0,0.92,0,0,9.02,0,0,0,5.75,1.18,0.85,11.14,0.86,0,1.76,0
 24-34,0,0,0,0,0,0,0,0,0,1.36,0,0,0,0,0,0.9,0,0,0,0,0,0,0.97,2.08,0,1.01,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.91,0,0,1.35,0,0,0,0.69,0,0,0,1.98,0,1.75,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0.43,0.44,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0.68,0,1.08,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0.72,0
 72-82,0,2.89,0,0,0,0,0,0,0,2.93,0,0,0,2.13,0,2.7,0,0,0,0.51,0,0,0,0,1.65,0,0
 84-94,0,5.71,5.93,0,0.58,0.66,0,0,0,1.26,0,0,4.63,0,0,14.28,0,0,0,45.1,0,0,0,0,139.81,0,0
 96-106,0,0.64,1.33,0,27.95,1.68,3.67,0.74,1.33,0.73,2.19,0.62,5.62,0,2.13,25.14,0,2.03,0,9.36,0,0,0,2.16,9.97,0,0
108-118,0.74,2.06,1.71,3.98,13.79,0,0.63,0,1.42,0,0,0,3.94,0,1.14,16.93,0,0,0,0.45,0,0,0,0.55,186.37,0,0
120,0,1.16,0,0,10.82,0,0,0,0,0,0,0,0,0,0,0,1.62,0,0,1.79,0,0,0,0,0,0,16.58
