stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,24.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.25,201.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.42,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.68,0,0,0,0,0,0,0,0,0,5.85,0,0,0,0,0,0,0,0,0,0,0,91.01,0,0,0,37.17,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,23.76,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,10.57,6.28,0,0,41.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,15.26,1.6,0,3.73,0,0,0,0,0.85,0,0,0,0,0,0,0,0,2.81,0,0,2.6,47.88,1.08,0,0,0,0,13.21,0,5.96,12.89,0,0,0,0
 24-34,0,0,0,0.69,0,0,4.78,0,0,0,0,1.27,0,0.79,0,0.77,0,0,0,0,6.4,0,0,2.98,64.73,0,0,0,0,0,43.2,0.86,0,8.7,0,0,2.45,0
 36-46,0,0,0,2.94,0,0,7.61,0,0,0,4.76,0,0,1.65,0,0,0,0.67,0.85,0,3.66,0,1.32,1.27,39.78,0,0,0,0,0,102.11,0,0,10.92,0,0,1.27,0
 48-58,0,0,0,0,0,0,69.91,0,2.41,0.4,3.07,0,0,0.87,0,0,0,0,0,0,8.15,0,0,0,63.1,0,0,0,0,0,62.3,0,0,6.29,0,0,1.68,0
 60-70,0,0,0,0,0,0,582.11,0.64,0,0,12.25,4.02,0,0,0,0,0,2.08,0,0,8.91,1.58,0,2.59,68.38,0,0,2.77,0,0,97.36,1.87,0,13.82,0,0,0,0
 72-82,0,0,0,3.62,0,0,376.25,0,0,1.18,6,12.24,0,0.58,0,0,0,0,0,0,25.72,1.8,2.07,0.93,57.62,0,0,0,0,0,51.51,0,0,1.83,0,0,0.51,0
 84-94,0,0,0,4.1,1.52,0,165.93,3.35,0.7,3.91,12.11,18.44,0,0,2.7,1.58,0,0,0.65,2.53,18.49,0.57,0,1.56,42.03,0,0,0,0,0,141.42,0,0,5.89,0.66,0,0.94,0
 96-106,0,0,0,4.81,5.76,0,168.66,0,0,0.77,2.49,26.48,0,0.99,2.74,1,0.58,0,0,0,14.25,0.6,1.06,0,31.31,0,2.22,0,0,0,149.22,0,0,0,3.18,0,0,3.73
108-118,0,0,0,7.54,0,0.47,110.41,0,3.35,0.56,10.41,42.81,0,0,1.26,1.05,0,0,0.61,0,16.9,2.22,1.25,4.63,63.99,0.62,0,0,0,5.33,90.98,0,0,0,0,2.12,2.89,0
120,0,0,0,19.09,0,0,66.23,0,1.13,0,17.43,52.47,0,0,1.53,0,0,0,0,0,34.97,0,15.72,3.08,63.08,0,0,2,0,0,85.06,0,0,4.02,0,10.65,0,0
