stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord
  7-9,4.44,7.33,0,0,0,0,18.84,0,0,0,0,131.19,0,0,0,5.76,0,0
 10-12,0,0,0,0,18.22,0,71.75,0,0,0,0,833.03,0,0,19.63,0,0,0
 14-21,0,1.03,252.34,25.7,0.83,2.64,6.37,0.86,1.12,0,0,1.31,1,0.94,0,4.75,0,2.68
 24-34,0,0,0.7,23.3,0,1.54,1.33,0,15.38,0.94,0,2.3,0,0,0,0,0,0
 36-46,0,0,0,9.02,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,13.57,0,0,0,0,0.48,0.8,0,1.19,0,0,0,0,0,0
 60-70,0,0,0,5.51,0,0,0,0,0,0,1.43,1.56,0,0,0,0,0,0
 72-82,0,0,0,2.75,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0
 84-94,0,0,0,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,4.99,0,0,0,0,0.74,2.55,0,0,0,0.98,0,0.64,0,0
108-118,0,0,1.32,0,0,0,0,0,0.61,0,0,0,0,0,0,0,0,0
120,0,0,0,2.93,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0
