stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.87,328.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.92,105.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,17.97,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0,0,0,0,22.75,0,0,0,3.24,0,0,8.66,0,0,0,0,0,0,0,0,0,0
 10-12,5.75,0,0,0,0,0,0,15.01,0,0,0,0,0,4.29,0,0,0,0,0,0,0,0,0,0,89.65,0,0,0,34.98,0,0,6.79,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.87,5.69,2.14,0,0,0,0,0,1.83,0.85,2.13,1.92,0,0.95,0,0,0,2.66,0,0,7.46,49.54,0,1.95,0.87,0,0,0,0,3.3,2.26,5.26,34.83,26.26,0,0,0,0,0
 24-34,0,0,0,0.81,1.5,0,0,4.16,0,0,0,3.61,0.67,0,0,0,0,0,0,0,2.07,0,0,2.27,248.29,0,11.4,19.47,0,0,4.72,0,0,0,0,2.84,77.1,0,0,2.6,0,0
 36-46,0,0,0,0,0,0,0,28.2,0,0,0,7.34,0,0,0,0,0,0,0,0,2.25,0,0,8.73,583.13,0.8,18.07,10.65,0,0,0.75,0,0,0,0,0.67,131.86,0,0,0.88,0,0
 48-58,0,0,0,0,0.83,0,0,145.31,0,0,0,24.58,0,3.52,0,0,0,0,0.9,0,10.44,0,0,13.22,719.15,0,11.57,24.95,0,0,0.41,0,0,0,0,0,159.85,0,0.4,0.75,0,0
 60-70,0,0,0,0,4.71,0,0,799.95,0.74,0,0,35.32,0,0.66,0,0,0,0,6.56,0,2.98,0,2.69,8.88,1321.75,0,11.26,24.91,0,0,12.52,0,0,0,0,0,260.99,0,0,0,1.46,8.13
 72-82,0,0,0,0,8.26,34.69,1.16,691.9,0,0.5,1.61,55.37,0.7,0,1.32,0,0,0,6.35,0,21.9,0,0,2.72,1012.62,0,9.51,52.12,0,0,8.47,0,0,0,0,0,214.19,0.87,0,5.48,1.53,0
 84-94,0,0,1.32,0,6.47,7.87,0.95,450.94,0,0,0,45.01,0,3.46,1.22,0,0.69,0,12.31,0,22.85,8.7,1.9,4.97,849.67,0.6,2.73,84.24,0,0,24.02,0,0,0,9.83,0,117.57,0.6,0,2.6,1.34,4.02
 96-106,0,0,0,0,13.03,19.79,1.05,493.39,0.58,0.9,0,54.94,3.09,0,0,0.79,0,0.66,21.86,9.82,23.33,3.69,2.3,15.48,739.31,0,14.49,123.56,0,0,45.32,0,0,0,0,0,43.85,0.72,4.86,0,3.01,0
108-118,0,0,0,0,16.71,11.26,2.3,494.13,0.65,3.18,1.21,63.97,0.49,0,0.56,0,1.11,0.97,13.96,0.89,42.74,9.19,0,2.21,1047.7,0,9.05,101.58,0,0,27.32,0,0,0,0.61,0,43.28,5.12,1.84,0.57,7.32,0
120,0,0,0,0,21.8,27.45,0,573.11,1.66,0,0,103.73,1,0,0,2.76,0,3.92,21.04,0,67.59,0,0,21.02,1605.86,0,1.26,160.31,0,18.18,13.23,0,0,1.83,2.07,0,75.95,0,0,0,0,0
