stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  3-4,9.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,16.21,7.86,0,0,0,0
 10-12,0,8.61,0,8.32,0,0,0,0,0,0,0,18.25,23.73,0,0,0,0
 14-21,0,0,2.01,0,0,0,0,0,0,0,0,0,0,0,0.82,1.12,0
 24-34,0,0,1.29,0,0,0,0,1.02,0,2.51,0,6.5,0,0,0,1.12,0
 36-46,0,0,0.64,0,0.78,0,0,0,0,0,0,2.07,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.49,0,0,0,0,0
 60-70,0,0,0,0,4.37,0,1.18,0,0,0,2.04,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.79,0,0,0,0,0,0.5,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.6,1.06,0,0,0,0,0,0,3.46
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
108-118,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0
