stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.11,2.13,21.32,1.06,3.39,0,0,0,0,0,0,0,0,0,0,0,5.08,0,0,1.93,69.17,0,0,0,0.83,0,1.68,3.63,0,5.94,6.21,29.09,0,0,0,0
 24-34,1.81,0.87,3.35,2.71,21.68,46.62,0,0,1.35,6.39,0,0,0,7.47,0,0,10.27,0,0,40.47,670.73,1.27,0,1.62,0,0,2.29,0,6.79,53.56,2.54,80.14,0,1.4,0,0
 36-46,1.68,0,4.15,0,36.13,166.63,1.39,1.71,4.9,2.18,0,0,0,16.11,0,0,24.23,0.56,0,25.39,1393.62,2.3,0,2.43,0,0,2.55,0,8.94,131.03,4.17,145.11,0,0,0,2.51
 48-58,0,0,6.61,0,65.71,128.9,0,0.56,14.63,3.09,0,0,0,3.23,0,0,25.88,0,0,22.68,1402.1,6.07,1.68,3.09,0,0,10.73,0,22.16,200.91,0,148.74,0.51,0,0,3.02
 60-70,0,0,8.51,0.71,66.57,62.72,10.78,1.27,18.18,0.7,0,0,0,4.85,0,1.64,61.02,0,0,20.35,1277.91,0.63,0,0,0,3.41,3.79,0,2.98,99.81,0,177.19,0,0,0,0
 72-82,0.76,0.75,9.5,0,82.5,17.42,0.51,1.96,5.67,0,0,0,0,10.12,0,0,40.82,0,4.82,8.28,993.25,1.97,0,5.49,0,0,7.82,0,0.65,16.1,0,66.92,0.75,0,2.03,3.37
 84-94,0,0,3.96,1.3,45.97,13.82,0,0,6.85,2.32,5.44,0,0,9.38,0,0,40,0,0.94,11.05,515.67,0,4.3,0,0,0,3.55,0,2.68,16.42,0,49.94,8.53,0,2.19,0
 96-106,0.63,0,3.14,0,42.45,4.1,1.01,3.68,0.9,0,0,0.64,0,3.28,0,0,44.83,6.08,0.7,1.66,370.74,0,0,2.57,0,2.56,1.13,0,0,11.74,0,18.5,0,0,2.32,0
108-118,0,0,3.84,0.96,63.7,6.23,0,4.83,22.85,0,1.04,0.45,1.01,3.51,0.56,0,47.86,0,3.6,5.06,489.81,0.43,1.1,1.78,0,6.22,0,0,0,12.13,0,22.28,0,0,0,0
120,0,0,7.13,0,55.53,0,4.34,1.58,0,0,0,0,0,0,0,0,53.4,0,0,0,1040.72,0,0,0,0,0,0,0,0,5.76,0,33.44,0,4.29,0,0
