stage,epidermis,eye,glial,gut,mesenchyme,muscle,neural,spinal_cord
 14-21,0,0,0,0,0,0,0,0.91
 24-34,0,0,0,0,0,0,0.95,0
 36-46,0,2.26,0,0,0.63,0,6.44,1.37
 48-58,0,0,0,0,0,0,0.88,0.99
 60-70,0,3.19,0,0,0,0,1,0
 72-82,0,0.57,0.56,0,0,2.8,0,0
 84-94,0,6.02,0,0,2.29,0,0,0
 96-106,0,0,0,5.18,0,0,1.2,1.96
108-118,0,1.41,0,0,1.16,0,0,0
120,1.66,2.56,0,0,0,0,0,0
