stage,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature
  7-9,0,0,0,0,0,29.74,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,35.72,0,0,0,7.29,0,0,0,0
 14-21,0,1.58,0,0,1.37,9.96,0.86,0,0,0,0,1.64,0.9,0
 24-34,0,0,0,0,1.78,16.55,0.64,0,0,0,2.85,0.84,0,0
 36-46,0.76,0.8,0,0.59,0,6.08,0,0,0,0,0,0,0,0
 48-58,0,0,0.96,1.03,0,1.03,0,0.47,0,0,0,0,0.71,0.6
 60-70,0,3.62,1.5,4.5,0,2.25,0,0,0.83,0,0,0,1.21,0
 72-82,0,1.48,1.79,0.74,0,8.18,0,0,0,0,0,0,0,0
 84-94,0,2.29,0.92,0,0,2.67,0,0,0,0,1.26,0,1.3,0
 96-106,0,0,0,5.84,0,0,0,0,0,0,0,0,0,0
108-118,0,0,4.24,0,0,0,0,0,0,0,0,0,0,0
120,0,1.11,0,1.85,0,0,0,0,0,0,0,0,0,0
