stage,blastomeres,endoderm,epidermis,eye,glial,heart,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,28.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,14.81,0,3.84,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,4.83,0,5.12,0,0,0,0,0
 14-21,0,0,0.84,0.82,0.81,0,0,0.88,5.81,0,2.23,0,1.01,0,2.87,5.81
 24-34,0,0.59,0.7,0.64,0.7,0,0.71,0,6.23,0.64,0,1.22,0,0,0,1.15
 36-46,0,0,0,0,0,0,1.57,0,2.94,0,0,0,0,0,0,0
 48-58,0,0,0,0.97,0,0,0,0.53,1.55,0.48,0,0,0,0,0,0.71
 60-70,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,1.65,0,0,0,0,0,0,0
 84-94,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0.6,0,0
 96-106,0,0,0,4.79,0,0.99,0,0,0.94,0,0,0.75,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.72,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0
