stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,41.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,15.62,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.83,0,0,0,0,0,0,0,0
  7-9,29.3,0,0,0,0,0,0,0,0,0,181.89,0,0,0,0,0,0,0,0,70.66,0,0,0,35.23,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0,0,42.41,14.8,0,0,9.8,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,7.84,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.44,9.15,0,0,0,0,0,1.26,0,1.86,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.78,0,0.63,0,0,0.65,0,0,0.68,0,0,4.49,7.25,6.75,0,0,0,0,0,0,0,1.13,0,0,0,0,0
 36-46,0,0,3.08,0,0,0.65,0,0.78,0,0,0,0,0,0,0,4.43,0,0,0.61,7.05,8.67,0,0,0,0,0,0,0,5.79,0,0,5.76,0,0
 48-58,0,0,1.72,0,0,0.47,0,1.96,0,0,0,0,0,0,0,8.68,0,0,1.98,7.1,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,4.71,0,0,0.71,2.45,4.78,0,0,0,0,0,0,0,21.74,0,0,0.59,22.28,14.24,0,0.72,0,0,0,0,0,1.82,0,1.04,0,0,0
 72-82,0,0,4.9,1.18,0,8.14,0,3.07,2.1,1.15,0,0,0.61,0,0,36.35,0.96,0,1.94,18.57,0.63,0.56,0,0,2.4,5.15,0,0,1.14,0,0,0,4.1,0
 84-94,0,0,5.26,0,0,2.3,0,3.21,0,1.36,0,1.1,0.79,0,0,32.75,1.6,1.64,0,37.58,0,0,0,0,4.22,5.6,0,0.73,6.38,0,0,3.15,4.95,0
 96-106,0,0,20.94,3.66,0,6.69,3.73,0.59,1.53,1.63,0,0,0,1.23,0,60.67,0,4.48,0,20.09,0,1.34,0,0,3.23,18.99,0,0,0,0,0.79,0,5.85,0
108-118,0,0,25.8,0,2.13,7.53,3.23,7.33,1.85,0.96,0,0,1.06,0,2.53,69.34,0,4.1,3.16,33.05,3.2,0.75,0.43,0,13.24,5.32,0,0,0,1.11,0,0,3.63,0
120,0,0,24.51,1.11,0,0,5.38,13.64,0,0,0,0,0,0,14.98,34.52,0,0,7.6,44.83,0,0,6.2,0,0,11.09,0,0,0,6.74,0,0,23.52,7.88
