stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,xanthophores
  3-4,0,35.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.74,15.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,3.56,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.43,0,0,10.01,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,1.76,0,0,0
 24-34,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,79.69,0,0,0,0,14.75,0,4.1,0
 36-46,0,0,0,0,0.69,0,0,0,0,0,0,0,0,0,0,1.87,0,0,305.31,0,4.08,0,0,71.49,0,0,0
 48-58,0,0,0,0,14.85,0,0,0.69,16.64,0,0,0,0,0,0,0.52,0,3.43,820.1,0,0.57,0,0,93.2,0,0,0
 60-70,0,0,0.61,0,25.03,0,0,0,8.43,0,0,0,0,0,0,8.37,0,0,1186.05,2.94,1.23,0,1.18,127.93,0,0,0
 72-82,0,0,4.23,0,75.64,0,0,0,30.04,0,0.5,0.5,0,0,0,6.8,0,0,1153.42,1.49,0,0,1.21,56.62,0,0,3.8
 84-94,0,0,3.72,0,85.45,0,0,0,10.57,0,0,3.19,0,0,0,10.46,0,0,659.97,1.43,0,0,0.72,46.32,0,0,0
 96-106,0,0,3.37,0.8,27.74,0,0,0.72,13.47,1.38,0,0,0.92,0,0,9.21,1.14,5.73,554.99,1.76,0,0,0,18.6,0,0,0
108-118,0,0,2.31,0,37.06,1.27,0,0,14.15,0,0,0.95,0,0.82,0,7.15,0,0,655.92,0.46,0,0,0,35.12,0.89,2.69,0
120,0,0,5.63,0,89.07,1.63,0,0,16.18,0,0,0,0,0,1.6,27.17,0,3.2,1207.49,13.77,0,0,0,30.35,0,17.74,0
