stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,104.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0,0,0,0,0,0
  5-6,142.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,15.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,7.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.94,0,2.01,0,0,0,0,0,0,0,0,0,0,2.62,0,0,5.89,119.12,0,0,10.79,4.66,0.82,0,7.89,6.22,85.83,0,0,0,0,1.01
 24-34,0,3.59,0,0.98,0,0,0,1.24,0,0,0,0,0.65,1.9,6.97,0,0,2.8,666.33,0.73,0.75,17.91,0.85,0,0,1.16,7.39,433.57,0,0,1.82,0,1.49
 36-46,0,0,0,7.45,8.08,0,0,0,0,1.19,0,0,0,0,1.82,0,0,1.32,644.03,0,0,5.4,0.93,0,0,2.24,0,361.99,0,0,0.58,0,2.94
 48-58,0,5.82,0,36.26,1.57,0,0,4.74,0,0,0,0,0,2.53,6.34,0,0,2.6,364.31,0.56,0,3.16,0,0,0,1.19,0,106.1,0,0,1.33,0,6.57
 60-70,0,0,0,46.32,2.84,0,2.05,0.93,0,0,0,1.22,0,0,6.98,0,0,0.58,322.68,0,0,0,0,0,0,0,0,52.28,0,0,0,3.27,9.58
 72-82,0,0,0,96.79,1.46,0,0,1.18,0,0.74,0,0,0,0,17.62,0,1.73,0,319.23,0,1.38,3.25,0,0,0,0,0,18.12,0,0,1.76,0,6.7
 84-94,0,0.86,4.76,89.47,0,0,0,13.59,0.65,0,1.13,0,0,0,17.43,0,0.55,0.67,201.6,0,0,4.45,2.84,0,1.29,0.66,0,26.99,0.56,2.62,0,0,5.84
 96-106,0,2.3,1.05,104.52,0.93,0.59,0,14.61,0.81,0,2.94,0,0,0,18.51,0,0,0,226.67,0,0,2.41,0.98,0,0,0.72,0,12.85,4.84,0,0,0,0
108-118,0,2.34,1.22,148.35,0,1.52,0,24.6,0,0,0,1.51,0,0,6.16,0,0,2.95,238.57,0,2.76,2.07,0,0,0,0,0,1.9,0,0,0,0.73,3.31
120,0,0,4.22,81.91,0,0,0,24.31,2.23,0,0,1.12,0,0,6.93,1.65,11.56,8.2,229.47,0,0,4.63,0,0,0,0,0,20.39,0,0,5.77,0,0
