stage,blastomeres,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,otic,pericytes,slow_muscle,somites,spinal_cord,vasculature
  5-6,13.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.91,0,1.87,0,0,1.54,0.79,0,0
 48-58,0,0,0.4,3.85,0,0,0,0.46,1.17,0,0,0,0,0,0,0,2.13
 60-70,0,0,1.86,0.62,0,0,1.52,2.08,2.15,0,2.3,0,0,0,0,0,0
 72-82,0,0,2.37,1.76,0.58,0,0,6.45,9.37,0.87,0.94,0.84,0,0,0,1.02,0
 84-94,0,2.82,4.23,6.65,0,0,0,0,11.04,0,0,0,0,0,0,0,0
 96-106,0,0.61,0,1.22,0,0,0,0,21.08,0,0,0,0,0,0,0,0
108-118,0,3.14,0,1.89,0,2.98,0,0.94,15.02,0,7.4,0,4.04,0,0,0,0
120,0,0,0,11.27,0,0,0,0,34.71,0,0,0,0,0,0,0,0
