stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,11.51,365.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.38,393.39,0,0,0,0,0,0,0,0,0,0,16.45,0,0,0,0,0,0,0,0,0
  7-9,14.78,6.02,8.05,0,0,16.99,0,0,28.29,0,0,0,208.39,23.14,93.59,0,0,0,0,0,0,0
 10-12,0,0,3.32,0,0,3.36,0,0,0,0,0,0,58.84,7.99,3.38,0,0,0,0,0,0,0
 14-21,0,0,0,2.22,0,1.7,0,0,0,0,0,0,5,0,0,0.86,4.15,0,1,3.11,1.1,0
 24-34,0,0,0,0,0,0,0,0.59,0,0,0.68,0.64,1.5,0,0,1.57,0,1.13,0.72,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0,2.73,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,15.46,0,0.49,0.84,0,0,6.63,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,1.92,0,0,2.31,0,0,1.66,0,0,0,0,0,0
 72-82,0,0,0,0,2.48,1.04,1.57,0,0,9.84,2.1,0,0,0,0,0,0,0,0,3.36,0,0
 84-94,0,0,0,0,2.22,0,0,0,0,11.73,2,2.13,1.1,0,0,0.67,0,0,0,0,0,0.82
 96-106,0,0,0,0,0.77,0,0,1.15,0,7.16,2.18,1.41,3.93,0,0,1.37,0,0,0,0,0,0
108-118,0,0,0,1.1,4.36,0,0,0,0,26.11,3.63,0.98,3.64,0,0,0,0,0,0,0,0,0
120,0,0,0,0,1.14,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0,0,0
