stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.77,0,0,0,0,0,0,0,0,20.95,0,0,0,18.77,0,0,3.43,0,0,0,0
 14-21,1.1,6.85,1.17,0,0,0,0.98,0,0,0,0,0.87,14.31,0,0,0,0,1.59,2.97,0,2.64,3.07,0,0
 24-34,0,0.68,0,0,0.95,0,0,0,0,0.78,0,0,11.85,0,0,0.82,0,4.72,0,0,0,3.19,0,1.44
 36-46,0,1.53,0,0,0,0,0,0,0,0,0,0,11.46,0,0,0,0,4.16,0,0,0,0,0,0
 48-58,0,1.59,0,0,1.38,0,0,0.4,0,2.53,0,0,14.4,0,0,0,0,1.47,0,0,0,1.47,0,0
 60-70,0,0,0,0,0,0,0,0,0,5.13,0.59,0,5.86,0,0,0,0,0.58,0,0,0,0,0,0
 72-82,0,0,0,18.18,0,0,0,1.08,0,9.09,0,0,8.67,0,0,0.95,0,0,0,0,0,3.07,0,0
 84-94,0,1.06,0,11.08,1.33,0,0,0,0,0.84,0,0,4.31,0,0.66,0,0,9.55,0,0,0,0,0,0
 96-106,0,0,0,25.64,0,0,0,0,0,0,0,0,4.76,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0.62,0,4.38,1.08,0.65,0,0,0.43,1.02,0,0,10.18,0,0,0,0,4.83,0,0,0,0,0.48,0
120,0,0,0,0,1.07,0,0,0,0,7.62,0,0,16.78,1.93,0,0,0,1.38,0,0,0,0,0,4.27
