stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,19.43,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,7.7,11.26,0,0,0,0,0,0,0
 14-21,0,1.32,1.12,0,0,0,0,0,0,2.33,0,0,10.46,2.59,0,0,4.73,0,1,0,0
 24-34,0,0,2.63,0,0,0,0,0,0,4.22,0,0.61,34,0,0.67,0,10.76,1.13,1.78,2.41,0
 36-46,0,0,4.95,0,6.72,0,0,0,0,1.12,0,0,25.2,0,0,0,13.37,0,3.6,0,0
 48-58,0,0,20.07,0,6.15,0,0,0,0,4.89,0,0,24.66,0,0,0,2.5,0,2.08,0.47,0
 60-70,0,0,2.58,0,10.52,2.12,0,0,0,2.14,0,0,24.01,0,0,0,14.7,0,3.92,0,0
 72-82,4.42,1.26,1.71,0,10.28,2.65,0,0,0,3.17,1.8,0,42.92,0,0,0,7.59,0,18.43,0,1.51
 84-94,0,0,2.19,0,2.28,1.52,0,0,0,3.8,0,0,40.01,0,0.8,1.34,14.86,0,4.39,0.92,0
 96-106,0,3.29,5.43,0,25.61,5.92,1.26,2.78,19.88,4.75,0,0.85,35.26,0,0,0,33.12,0,1.35,0.64,0
108-118,0,2.33,1.69,0.55,7.36,2.19,0,0,0,5.83,0.71,0,56.96,0,0,0.67,53.88,0,1.38,0,0
120,0,3.06,2.13,0,32.02,2.51,0,0,0,0,0,0,124.94,0,0,0,25.89,0,0,0,0
