stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.3,0,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36,0,0,0,0,0,0,8.69,0,0,0
 24-34,0.65,0,0,6.97,0,0,0,3.46,0,0,0,0.7,0,0,0,1.62,0,0.81,284.36,0,1.68,0,0,0,0,107.66,0,0,0
 36-46,0,15.92,0,70.88,0,0,0,25.7,0,0,0,0,0,0,0,0,0,0,811.45,0,4.45,0,0,0.85,0,202.4,0,0,0.57
 48-58,0,5.34,0,261.46,0,0,0,44.79,0,0,0,0,0,0,0,4.52,0,9.04,935.71,0,1.75,0.52,0,0,1.65,207.9,0,0,0
 60-70,0,3.22,0,678.51,0,0,0,44.18,0,0,0,0,1.55,0,0,10.73,0,10.37,1220.1,0,0,0,2.33,0,0,178.09,0.99,0,0
 72-82,0,8.7,0,586.02,0,3.38,0,39.31,0.65,0.66,0,0,0,0,0,9.51,0,1.34,815.17,2.3,3.35,0.99,0,0.74,0,101.02,0.91,1.7,0
 84-94,0,0,0,357.04,0.69,0,0,22.92,0.57,0,0.84,0,0,0,0,9.18,0,1.85,521.81,0,7.9,0,0,0.57,0.6,118.31,0,3,0
 96-106,0,0,0,412.69,0,11,1.72,28.41,0,0,0,0,0,1.04,12.34,4.03,0,0,359.28,0,0.83,0,0,0.81,0,40.25,0,0,0
108-118,0,7.64,2.82,270.61,1.32,0,0,26.34,0,0,0,0,5.51,1.15,0,12.27,0,0,468.33,0,2.63,0,0,0,0,15.17,0,0,0
120,0,12.57,0,432.8,0,0,0,124.99,2.56,0,0,0,4.78,0,0,20.02,1.65,6.53,1359.61,0,19.47,0,0,9.33,0,46.42,0,0,0
