stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,29.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,79.1,0,0,15.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,232.61,0,15.56,419.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049.97,3.16,0,0,55.26,0,0,0,12.78,0,0,0,0,0,0
 14-21,0,0,0,15.45,3.14,2.71,0,0,0,1.23,1.28,0,0,0,0,0,0,0,9.82,0,5.74,2073.13,4.47,0,0,0,0,0,1.13,0,0,170.28,0,0,0,0
 24-34,0,0,0,9.16,0,1.41,0,0,0,2.59,0,0,0,0,0,0,0,0,9.48,0,13.99,3114.75,0,0,0,0,0,1.98,0,0,1.52,518.34,0,0,0,0
 36-46,0,0,0,9.9,0,24.37,0,0,0,11.14,0.65,0.73,0,0,3.97,0,0,0,5.77,0,2.11,3720.11,0,3.42,0,0,0,0,0,0.88,0,486.01,0,3.46,0,0
 48-58,0,0,0,2.46,2.59,71.23,0,0,1.26,77.91,0,0,1.83,0,0,2.24,4.37,1.55,9.04,0,0.38,3141.66,0,0,0,0,0,1.27,0,0,0,129.09,0,0,0,3.64
 60-70,0,0,0,26.21,0,54.19,0,0,0,186.05,0,0,4.73,0,0,0,0,0,5.68,0,0,2645.81,0,0,0,0,0,0,0,0,0,23.11,0,0,0,0
 72-82,0,0,0,10.94,0.61,71.54,0,5.44,4.92,229.6,0,0,0,0,0,0,0,0,11.33,0,0,1900.1,0,1.23,0,0,0,5.4,0,0,0,1.32,0,4.06,0,0
 84-94,0,1.05,0,16.96,0,114.84,0,2.5,0.8,150.34,0.72,2.41,0,0.83,0,0,0,0,11.92,0,0.68,1532.99,0,0,1.81,0,0,4.81,0,0,0,31.24,1.11,3.55,2.64,9.02
 96-106,0,0,0,7.55,1.27,75.78,0,0,0,93.51,3.7,0,0,0,0,0,17.64,0,16.03,1.09,0,1013.88,0,0,0,0,3.21,0.56,0,0,0,13.44,0,0,0,11.93
108-118,0,0,0,16.3,6.4,22.63,0,0.54,0,156.8,0,0,0.83,0,5.25,0,0,0,16.38,4.08,0,1472.23,0,1.46,0,0,0,0.44,0,0,0,3.41,0,0,0,0
120,0,0,0,24.06,0,94.61,1.76,5.79,0,221.71,0,0,3.6,0,11.11,0,0,0,18.89,0,0,1590.19,0,0,0,0,0,0,0,0,0,5.6,1.37,0,0,0
