stage,epidermis,eye,fin_mesenchyme,glial,liver,mesenchyme,mural_cell,muscle,neural,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,1.18,0,0,5.39,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,7.5,0,0,0.65,0
 36-46,0,0,0,0,1.55,0,0,1.8,47.74,0,0,11.76,0
 48-58,0,6.85,0,1.91,0,3.37,0,0,39.07,0,0,8.87,0
 60-70,0,35.23,0,0.75,0,1.64,0,0,33.78,0,0,13.01,1.41
 72-82,0,32.69,0,1.66,0,0,0,0,28.65,0,0,1.08,0
 84-94,0,22.9,1.27,2.44,0,3.3,0,0,35.53,0,0,6.9,4.38
 96-106,0,14.59,0,0,0,0,0,0,21.54,0.65,0,0,2.17
108-118,1.2,24.14,0,2.01,0,5.06,4.93,0,24.57,0,0.61,10.36,1.44
120,0,22.97,0,1.95,0,3.68,0,0,60.39,0,0,0,0
