stage,epidermis,erythrocytes,eye,fin_epithelia,glial,heart,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  7-9,0,0,12.72,0,0,0,0,0,0,0,0,0,5.01,0,0,0,3.88,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,65.81,0,0,0,4.87,5.47,0,0,0,0,0,0,0
 14-21,3.47,0,1.75,0,0.89,0,0,0,1.75,0,0,0,32.44,0.87,0,0.89,0,0,1.03,0,6.61,18.88,0,0,0
 24-34,5.54,0,4.07,0,0.99,0,0.71,0,0.81,0,0,2.06,88.39,0,2.39,1.3,0,0,0,0,6.61,26.24,0,0,0.81
 36-46,2.58,0,6.94,0,3.42,2.41,0.61,0,3.68,0,0,0.94,79.42,0,1.26,0.78,0,0,0,0,0,37.94,0,0,0
 48-58,0,0,9.94,0,8.4,0,1.04,0,3.61,0.52,0,1.35,51.58,0,0,0,0,0,0,0,0,25.86,0,0,0.42
 60-70,0,0,12.1,0,5.94,0,0,0,2.92,0,0,0,68.09,0,0,0,0,0,0,0,0,19.95,0,0,0
 72-82,0,0,6.48,0,4.61,0.86,0,0,6.51,0,0,0,35.04,0,0,0,0,0,0,0,0,0.84,0,0.87,5.48
 84-94,0,0,14.98,0,6.15,0,2.05,0,2.41,0,1.17,2.75,30.06,0,1.1,3.26,0,0,0,0,0,2.23,0.61,1.15,0
 96-106,0,0,4.65,0,2.92,0,0,0,1.86,0,0,2.18,35.04,0,0,0.81,0,0,0,0,0,2.94,0.66,1.15,0
108-118,3.75,3.96,7.92,0.58,6.07,0,1.23,1.01,0,0,0,0,29.74,2.48,0,0,0,0,0,0.45,0,3.9,3.99,0,1.48
120,1.45,0,6.3,0,11.59,0,1.12,0,6.04,0,0,0,64.72,0,0,0,0,0,0,0,0,0,5.46,0,0
