stage,epidermis,exocrine.pancreas,eye,fast.muscle,glial,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,12.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.16,0,0,0,0,0,0,0,0,0
 14-21,3.87,0,11.32,0,0,0,4.17,0.99,0,35.67,0,0,0,0,0,8.98,6.94,0,0
 24-34,0.72,0,45.99,0,1.89,0,78.28,3.57,0,29.27,3.2,5.48,6.83,0,0.61,1.28,5.72,0,0
 36-46,2.78,0,27.21,0,0,0,36.9,3.39,0,7.35,0.67,0,16.95,0,0,0,3.02,0,0
 48-58,0,0,27.44,0,0.48,0.89,42.01,12.95,1.67,9.44,1.12,0,91.24,0.38,0,0,2.26,0,0
 60-70,1.02,0,41.85,0,9.56,14.8,21.52,5.03,0,7.26,0,0,126.37,2.41,0,0,0,0,0
 72-82,2.76,0,14.76,0,8.85,14.12,12.72,5.84,0,13.51,0,0,176.43,0,0,0,0,0,0
 84-94,2.88,1.24,23.29,0,0,8.02,20.25,11.11,1.85,15.38,0.9,0,247.64,0,0,0,0,0,0
 96-106,6.18,0.97,0.72,1.46,4.53,0,9.88,1.53,1.79,30.63,0,0,426.9,0.7,0,0,0,0,0
108-118,3.91,1.11,9.08,0,1.91,1.15,21.84,2.35,0,17.27,0,0,179.13,0,0,0,0,2.05,2.71
120,0,0,2.48,0,0,0,10.75,6.77,0,0,0,0,292.31,0,0,0,0,0,0
