stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0.85,44.36,9.06,0,14.87,33.3,0,0,2.26,17.2,0,0,0,0,0.92,0,173.6,0,0,35.12,97.25,2.58,0,0,426.07,0,0,110.16,1.19,0,6.52,11.12,0,0,0,0,2.71
 24-34,0.88,0,2.67,7.74,1.54,0,33.31,79.7,1.61,10.22,0,3.78,0,0,0.7,0,10.63,1.19,81.79,0,2.41,15.22,73.1,3.32,0,9.41,0,2.6,0,0,0,0,12.06,11.66,0,0,1.13,0,2.76
 36-46,0,0,0,5.04,0,0,47.26,83.25,19.92,82.79,1.58,10.88,0,0,0,0,0,0,127.57,0.73,40.28,26.49,166.49,1.67,0.91,3.69,0,3.62,0.7,0,2.85,0,0,10.42,0,0,1.76,0,0.9
 48-58,0,0,0,3.3,0.39,0,74.35,45.2,71.41,185.18,9.88,6.58,0,0,1.32,1.43,6.04,0,331.25,0.6,53.58,31.69,197.27,2.34,0,11.48,0,4.92,0,0,0,0,0,5.96,0,1.69,2.08,0,0
 60-70,0,0.62,0,1.61,0,0,14.3,59.95,90.69,98.01,0,1.59,0,2.04,0,3.18,4.62,0,419.06,0,53.97,1.53,114.12,0,0,4.39,0,7.21,0,0,1.17,0,0,2.61,0.91,17.18,1.3,3.87,0
 72-82,0,0,0,3.46,3.7,0,24.15,28.78,146.25,61.22,0.72,1.38,0,2.05,0,3.7,4.89,0,641.69,0,47.63,19.77,102.87,0,0,12.82,0,21.48,0.59,0,2.14,0,0,0,0,18.62,6.11,23.4,0
 84-94,0,0,0,4.95,0,0,44.65,23.22,129.84,81.05,0,0,0,2.85,0,5.64,0,0,556.73,0,91.95,9.55,55.72,0,0,24.82,0,4.11,0,0,2.8,1.02,0,0,0,15.96,8.15,9.63,0
 96-106,0,0,1.61,4.2,0,0,25.2,19.57,100.51,72.06,4.74,7.22,0,0.85,0,13.76,0,0,626.24,0,17.78,9.38,144.33,0.76,0,42.7,0,55.87,0,0,0.59,0,0,6.54,0,15.17,21.22,34.08,0
108-118,0,1.18,0,5.37,0,0.9,30.26,23.49,151.17,39.09,4.66,2.1,0.56,0,0,8.61,4.89,0,627.2,0.77,39.27,12,85.53,0,0,36.85,0,43.79,0,0,3.98,0,0,1.49,0.96,5.4,7.93,37.09,1.03
120,0,0,0,5.76,2.93,5.97,11.33,29.11,96.48,35.55,0,0,3.52,1.45,0,9.04,0,0,598.89,0,58.05,3.27,116.07,0,0,63.83,0,88.74,0,0,1.56,0,0,0,1.84,4.49,0,20.82,0
