stage,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,spinal.cord
  5-6,0,0,0,0,0,14.1,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.53,0,0
 14-21,0,0,0,0,0,4.31,0,0,0,0,0
 24-34,0,0,0,0,0,4.68,0,0,0,0,1.72
 36-46,0,0,0,0,1.22,21.78,0,0,0,0,2.86
 48-58,1.25,0,0,1.2,0,18.03,0,0,0,0,0
 60-70,9,0,0,0.85,0,22.89,0,0,0,0,1.21
 72-82,3.07,0,2.9,4.82,0.53,29.53,0.49,0,0,0,5.44
 84-94,6.2,0.62,1.52,4.51,0,2.15,0,0,0,0,0
 96-106,9.66,0,2.09,3.78,0,12.43,0,1.01,0,0,3.63
108-118,0,0,3.16,1.75,0.58,20.93,0,0,0,1.76,2.22
120,0,0,1.31,18.78,0,21.96,0,0,0,0,0
