stage,blastomeres,endocrine.pancreas,epidermis,eye,glial,gut,mesenchyme,muscle,neural,olfactory,periderm,pronephros,spinal.cord
  3-4,25.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,10.28,0,0,0,0
 14-21,0,0,0,0.89,0,0,0,0,0.84,0,0,0,5.75
 24-34,0,0,0.6,74.22,0,0,1.95,0.64,6.07,1.31,0,1.39,1.37
 36-46,0,0,0,77.63,0,0,0,0,13.22,0,0,1.31,0.73
 48-58,0,0,0,42.53,0.64,0,0,0,7.86,0.47,0,0,4.12
 60-70,0,0,1.38,58.28,0,0,2.85,0,29.62,0,0,2.54,8.32
 72-82,0,0.97,0,50.83,0,0,0,0,19.01,0,0.74,0.55,0
 84-94,0,0,0,39.03,0,1.01,0,0,9.01,0,0,0,0
 96-106,0,0,0,12.58,0,0,0,0,18.6,0,0,0,0
108-118,0,0,0,27.4,0,0,0,0,8.09,1.44,0,0,0
120,0,0,0,24.65,0,0,0,0,4.81,0,0,0,1.19
