stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,90.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,106.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.44,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,3.27,0,0,15.76,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.42,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0
 14-21,0,0,0.84,25.55,2.48,0,0,0.88,0,1.89,1.08,0,0,0,0,0,0,0,7.44,0,0,1.01,19.89,0,0.92,0,0,0,0,0.9,4.34,4.43,6.11,14.66,0,0,0,0,0
 24-34,0,0,1.47,7.88,0,0,4.23,0.62,3.41,4.08,2.4,0,0,0,1.92,0,0,0,10.84,1.03,0,9.22,64.9,0.59,3.52,0,0,0,0,0,0,3.94,1.97,14.18,0,0,2.32,0,1.93
 36-46,0,0,0,20.33,0,0,12.3,1.4,1.18,5,0,0,0,9.89,2.07,0,0,0,10.22,0,0,3.7,50.93,0,4.69,1.46,0,0,16.18,0,0,2.03,0,14.45,0,0,0,0,0.67
 48-58,0,0,0,6.07,0.42,0,20.68,3.52,2.05,6.05,0,0.57,0.56,0,0,0.38,0.94,0,25.69,0,2.41,2.62,56.85,0,7.75,0.82,0,0,14.39,0,0,6.72,0,6.42,0,0.89,7.6,0,5.23
 60-70,0,0,0,7.44,0,0,32.38,1.58,4.38,14.18,0,0,0,0,0,1.48,0,1.92,52.57,0,0.96,5.52,73.65,0.8,7.51,0,0,0,22.64,0,0,3.37,0,9.55,0,0,0.73,0,0
 72-82,0,2,0,7.2,4.51,0,45.71,5.47,4.5,26.63,5.26,0,0,3.14,0,2.45,1.54,1.6,55.16,0.61,3.53,9.62,48.09,0,8.53,0.79,0,0,2.23,0,0,0,0,9.53,0,1.08,1.24,1.84,9.08
 84-94,0,5.13,1.01,11.76,3.99,0,19.9,0,6.29,8.41,18.01,0,0,5.1,3.42,9.48,3.55,5.79,52.8,0,4.24,11.34,30.61,0,8.22,2.28,0,1.49,10.14,0,0,5.94,0,5.06,0,0.57,7.5,1.66,0
 96-106,0,4.55,0.69,22.82,6.16,0,49.06,3.11,3.48,35.02,31.17,0,0,3.74,2.75,1.64,1.85,8.56,82.58,0.71,0.93,8.37,49.56,0.61,8.59,1.68,0,9.65,11.81,0,0,3.5,0,1.09,1.64,0,3.82,5.78,5.25
108-118,0,4.81,1.18,26.49,8.02,1.46,27.95,5.74,3.89,26.1,31.24,0,0,1.85,3.63,7.56,2.95,5.03,120.48,0,3.21,7.44,53.8,0,10.72,3.17,0,5.75,11.89,0,0,1.98,0,6.02,0.86,3.54,9.19,5.18,6.3
120,0,9.35,4.41,34.01,3.41,0,52.39,3.79,0,16.09,40.25,0,0,10.46,2.26,3.12,3.84,11.87,68.88,1.46,11.25,19.26,74.52,0,2.65,5.87,0,13.43,7.88,0,0,4.67,0,0,0,2.55,2.85,13.65,0
