stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,27.23,10.2,69.47,1.07,0,7.76,0,0,0,2.2,0,0,0,0,0,0,0,0,1.9,28.56,0,0,29.33,1673.42,2.11,38.15,0,0,4.09,3.89,3.36,0,0,6.69,1879.71,0,0,0,0,0
 24-34,20.41,0,42.77,2.53,0,81,0,3.09,0,18.91,0,0,5.86,2.78,2,9.12,0.68,3.08,17.63,39.7,0,0,37.93,10342.46,5.68,234.43,2.37,0,36.6,0,2.54,10.35,0,2.15,5804.39,0,0,28.78,0,8.23
 36-46,14.04,0.56,51.79,0,0,384.44,3.94,1.06,1.83,42.72,0.61,2.19,6.12,3.69,1.59,1.08,0,13.4,33.07,65.26,0.77,1.54,15.44,20972.99,4.27,226.79,2.26,7.92,73.74,1.9,0,6.2,0,0,9195.02,0,0,7.38,0,11.87
 48-58,3.2,0,113.37,2.46,0,2302.82,5.98,16.91,7.86,265.29,0,0.93,11.13,4.78,0.81,16.85,3.99,19.82,42.33,192.3,0.42,4.13,24.4,24942.76,6.55,128.51,8.12,0,60.99,0,0,0,1.54,0,7990.64,0,0,22.39,0,75.24
 60-70,3.74,0,80.4,1.21,0,6040.18,2.87,10.91,11.08,278.17,9.79,0,3.44,14.64,7,5.21,0,30.75,25.63,158.3,10.89,4.21,5.57,30848.44,17.43,71.01,1.89,0.71,42.89,0,0,3.63,0.65,0,6429.59,3.08,2.93,21.3,0.87,97.9
 72-82,22.28,0,205.37,42.19,0,8522.46,2.55,5.61,38.05,395.61,12.03,2.07,4.88,21.67,3.72,23.1,6.39,19.38,7.29,400.37,0,18.62,20.77,30499.7,5.15,184.32,14.93,6.82,36.4,0,0,2.57,0,0,3949.48,23.45,6.94,48.49,6.11,136.56
 84-94,14.84,0,258.69,18.96,10.69,6504.64,4.35,6.78,8.07,414.11,19.73,0,5.53,13.5,4.43,13.92,0.97,14.77,22.03,242.25,2.06,17.8,22.16,22121.39,1.4,198.83,9.3,2.55,45.61,0,0,2.36,0.64,0,2466.48,30.78,8.73,23.29,10.15,56.12
 96-106,36.6,0,239.05,74.02,10.88,5759.26,2.58,8.27,9.24,428.64,20.43,0,4.19,22.27,3.1,34.52,1.84,32.13,6.43,231.64,10.21,5.01,24.87,17020.3,1.71,230.06,7.88,18.4,76.47,12.69,0,3.85,1.31,0,1085.88,34.97,7,11.19,4.24,71.12
108-118,12.68,0.59,175.61,23.25,2.96,6267.5,4.12,2.22,4.79,451.15,22.27,0,0,9.11,2.12,5.5,1.11,18.34,9.92,214.1,0.9,10.33,14.12,25923.75,0.43,158.84,6.32,7.02,28.29,0,0,4.19,0,0,1129.88,39.01,1.68,19.64,5.8,2.07
120,10.32,0,306.19,30.72,58.21,6402.55,10.06,10.64,0,784.23,8.6,0,0,33.58,14.75,3.86,1.69,9.5,11.16,249.48,2.98,36.23,34.35,43072.42,8,222.74,4.64,8.16,44.76,0,0,3.15,0,0,1835.31,30.2,31.07,39.88,28.59,0
