stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,5.13,0,0,0,0,0,3.41,0,0,0,0,0,0,0,0,0,0,0,17.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,11.65,0,4.3,0,0,0,8.67,0,0,0,0,0,9.93,0,0,0,0,0,0,0,0,0,0,0,192.92,0,0,0,12.4,0,0,211.49,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,175.89,49.68,0,4.75,0,0,0,0,1.67,0,0,0,0,0,0,0,0,319.86,0,0,38.62,114.75,0,0,12.15,0,0,1.52,45.17,0,1.97,10.53,0,0,33.35,0,0
 24-34,0,0,1.05,1.66,200.08,2.18,0,20.08,0,0,0,44.71,0.78,0,0,0,0,0,3.11,0,0,620.78,4.11,0,187.88,862.05,0,14.65,1.28,0,14.53,0,0,2.15,3.34,34.54,0,0,111.19,0,0
 36-46,0,0,0,0,107.07,4.33,0,38.74,2.77,0,0,81.42,0.56,0,1.12,0,0,0,2.76,0,0,1095.31,0,54.9,464.79,1986.74,0,4.72,0,0,0,0.64,0,3.31,0,45.92,0,13.54,124.19,3.88,0
 48-58,0,0,0,4.25,70.46,0,0,71.45,1.23,0.57,5.81,80.05,5.13,0,4.98,0,0,0,21.47,0,0,1309.68,0,29.92,295.43,801.05,0,2.71,8.48,0,1.98,1.18,0,4.45,0,137.14,0,47.12,62.91,9.7,1.19
 60-70,0,0,0,0,110.92,9.74,0,67.27,0,3.31,6.61,153.94,4.5,0,0.76,0,1.02,2.01,48.89,0.77,0.93,2306.59,0,89.33,169.32,163.61,0,2.25,7.69,0,1.46,0,0,0,0,96.76,1.85,80.38,67.51,104.44,0
 72-82,0,0,0,2.13,101.97,12.71,0,99,2.1,1.17,3.22,98.95,15.7,0,4.64,5.1,0,4.15,66.21,0,0,2527.17,0,104.66,124.39,210.2,0.63,0,11.12,0,11.73,1.88,0,0,0,29.21,4.09,42.81,108.31,208.22,0
 84-94,0,0,0,1.64,285.31,0,0,162.74,2.1,0.82,3.37,105.15,21.62,0,3.71,0,1.06,0,112.34,2.64,0,2067.78,0,92.54,123.76,146.5,0,2.54,3.78,0,9.6,2.5,0,0,0,22.42,43.59,120.7,85.38,246.7,0
 96-106,0,0,0,2.41,269.71,3.87,0,83.98,5.07,1.29,10.81,84.62,26.32,0,4,2.94,12.56,0,145.36,1.98,0,2456.06,0.78,174.97,74.05,203.71,0.73,4.46,0,0,35.18,15.69,0,0,0,10.88,57.11,106.38,70.6,219.5,11.43
108-118,0.83,0,0,10.84,205.51,2.89,6.52,84.19,3.12,4.83,17.13,122.6,31.51,0,0,2.52,5.46,0,92.12,10.56,0,3281.07,3.88,130.17,107.93,148.2,2.69,1.16,1.56,0,36.52,3.21,1.67,0.66,0,4.52,60.17,40.69,110.76,139.79,0
120,0,0,0,0,158.32,0,0,163.45,0,0,19.25,96.76,31.66,0,0,0,3.49,0,29.09,8.32,0,2807.78,0,327.02,64.98,144.18,0,0,9.61,0,0,1.97,0,0,0,0,13.99,138.83,58.46,78.39,0
