stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,16.36,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.93,18.68,0,0,0
 10-12,0,0,6.27,0,0,0,0,0,0,0,0,0,0,27.39,24.47,0,0,0
 14-21,0,0,0,0,0,0.87,0,0,0,0,0,0,0,5.1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,2.03,0,0,6.35,0,0,1.04,0
 36-46,0,0,0,0,0,2.33,0,0,0,0,0.69,0,0,4.18,0,4.56,1.91,0
 48-58,0,0,0,3.53,0,2.18,0,0,0,0,0.86,0,0.66,5.2,0,0,0,0
 60-70,0,0,0,1.15,0,0,2.6,0,0,0,0,0,0,5.61,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,2.04,0.74,0,0,3.48,0,0,0,1.7
 84-94,0,0,0,0,0,0,0,0,1.26,0,0.83,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72,0,0
108-118,0,0,0,0.57,0,0,0,0,0.47,0,0,0.62,0.98,10.87,0,0,0,0
120,0,0,0,0,1.22,0,0,6.63,0,0,5.46,0,3.18,12.87,0,0,0,0
