stage,epidermis,eye,glial,gut,immune,liver,mesenchyme,neural,olfactory,otic,periderm,spinal.cord,taste,xanthophores
 14-21,0,0,0,0,0,0,0,6.22,0,0,0,1.75,0,0
 24-34,0,1.09,0,0,0,0,0,26.93,0.65,0,0,7.71,0,0
 36-46,0,13.14,0,0,0,0,0,106.04,0,0,0,20.91,0,0
 48-58,0,7.52,0.78,0,0,0,4.34,188.72,0.95,0,0,25.68,0,0
 60-70,0,11.39,0,0,0,0,0,192.6,0,0,0,36.88,0,7.51
 72-82,0,7.85,0,0,0,0,1.89,235.32,2.71,0,0,32.09,0,0
 84-94,1.22,24.2,0.67,0,0,0,1.77,124.84,0.93,0,0,42.91,0,0
 96-106,0,9,0.94,0,1.2,0,1.08,128.1,0,0,0,9.72,4.84,0
108-118,0,13.53,0.54,0.75,0,0,0,111.12,0,0.78,0,1.01,1.24,0
120,5.65,0,0,0,0,5.48,0,239.48,0,0,2.4,1.64,0,0
