stage,axial,blastomeres,endoderm,epidermis,eye,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vasculature
  5-6,7.58,84.36,0,0,0,0,0,0,0,0,9.92,0,0,0,9.78,0,0,0,0
  7-9,3.73,0,3.32,0,10.37,0,0,0,0,0,75.74,0,0,15.01,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,55.5,0,0,9.06,0,0,0,0,0
 14-21,0,0,0,0,0.96,0,0,0,0.91,0,1.88,0,0,0,3.03,0.97,2,2.22,0
 24-34,0,0,0,0.69,1.71,0,0,0,1.7,0,10.26,0,0.95,0,0.64,0,0,2.81,0
 36-46,0,0,0,0.81,0.57,0,0,0,0,0,21.28,0,0,0,0.58,0,0,1.23,0
 48-58,0,0,0,0,5.04,0,0,0.48,0,0,2.44,0,0,0,0,0,0,0.38,0
 60-70,0,0,0,0,6.14,0,0,0,4.2,0,6.58,0,0,0,11.08,0,0,0,2.95
 72-82,0,0,0,0,0.58,1.03,0,0,0.7,0.84,8.48,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,4.73,0,1.26,0,4.41,0,0.62,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,3.72,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.98,0,0,0,0,3.07,3.63,0,0,0,0,0,0,1.14,0
120,0,0,0,0,0,0,0,0,0,0,3.2,10.24,0,0,0,0,0,0,0
