stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.91,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.19,0,0,2.41,0,0,1.66,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,13.44,0,1.81,9.79,0,0,1.06,0,1.12,0,0,0,0,0,0
 36-46,0,0,0,0.85,0,0,0,0,0,0,0,21.12,0,0,49.74,0,0,0,0.7,0,0,0,0,0,0,0
 48-58,0,0,2.25,4.2,0,0,0.78,0,0,0,0,15.93,0,2.19,40.93,0,0,0,0,0,1.47,0,0,0,0,0
 60-70,0,0,2.43,18.49,0,0,0.87,0,0,0,0,28.77,0,0,33.51,1.09,0,0,0,0,1.15,0,0,0,0,0
 72-82,0,0,5.02,45.78,0.9,0,1.4,0,0,0,0,93.77,0,0,62.82,0,2.12,1.29,0,0,1.36,0.68,0.9,1.59,0,4.11
 84-94,0,1.16,3.74,42.92,0,1.81,3.95,0,0,0,0,89.27,0,0,32.98,0,0,8.78,0,0,1.3,0,0,0,0,0
 96-106,0,0,5.05,44.51,1.98,1.65,2.32,1.32,0,1.14,7.08,122.29,0,2.25,65.36,3.73,0.9,2.68,0,0,0,0,0,0,0.62,0
108-118,0,0,9.52,43.59,0,0,5.55,0.74,0.48,0,0,198.31,0.49,4,56.23,0,0,2.61,0,0,8.12,0,1.82,0,0,0
120,0,0,7.12,20.58,1.33,0,0,2.12,0,0,0,119.23,0,2.81,54.26,0,0,0,0,0,0,0,0,0,0,0
