stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0
  5-6,34.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.35,0,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0
 10-12,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.3,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.28,0,0,0.91,0,0,0,0,0.82,0,0,0,0.86,0,0,2.66,0,0.83,0,0,1.13,10.63,10.67,0,0,2.51,0,0,0,1.33,1.66,0,4.14,1.72,0,0,0,0
 24-34,0,0.67,0.6,0,0,8.62,0,0,0,1.75,0,0,1.06,0,1.76,0,0,0,2.2,9.52,0,0,7,65.33,3.76,2.98,2.31,0,0,5.42,0,0,0,0.85,1.29,8.17,0,3.1,0,0
 36-46,0,0,0.85,0,0,15.95,5.54,0,0.65,3.37,0,0,0.57,1.14,0,0,1.15,0,0,11,0,0,3.01,102.42,0,2.63,1.18,0,0,1.27,0,0,0,0,0,15.02,0,0,0,0
 48-58,0,0,10.69,0,0,29.43,0,0.41,0,8.74,0,3.47,0,0,3.92,0,0,0,6.81,11.97,0,1.17,2.2,77.96,0,0,0.43,0,0.45,10.36,0,0,3.14,0,0,27.96,0,4.04,0,1.28
 60-70,0,0,5.6,0,0,65.45,3.45,0,0,12.28,2.5,0,0,0,0,0,0,0,0.86,19.2,3.81,1.73,3.03,107.92,0,5.28,0,0,0,15.47,0,0,4.97,0,0,11.91,0,8.19,0,0
 72-82,0,0,3.6,1.28,0,127.99,3.55,0,3.12,38.31,1.28,0,0,5.51,0,0,0,0,0,33.54,0,0,3.17,77.68,0,0.54,1.4,0,0,12.59,0,0,0,0,0,18.88,0.87,2.23,1.78,3.18
 84-94,0,0,7.15,0,0,98.54,0,4.03,0.77,21.05,0.57,0,0,0.67,0,0,1.91,0,0,29.42,0,0,0.95,98.77,1.49,4.29,1.48,0,0,14.53,0,0,0,0,0,5.91,4.54,9.39,1.63,0
 96-106,0,0,0.72,0,0,100.55,0,0,2.13,20.51,2.27,0,0,0.6,0.97,0.75,0,4.34,0,19.2,0.76,1.18,0.61,70.86,4.22,6.2,1.38,0,3.48,3.48,0,0,0,7.61,0,7.12,0.88,6.61,0.92,0.62
108-118,0,0,23.92,0,0,84.56,0.51,0,2,36.59,6.29,0,3.6,1.97,2.81,0,1.31,1.97,2.8,13.86,0,4.85,1.46,142.22,0,3.74,1.06,0,0,11.96,0,0,2.69,0.57,0,9.64,0,0,0,4.45
120,0,0,7.25,4.26,1.58,149.87,2.29,0,1.6,46.12,3.18,0,0,0,8.38,0,0,1.02,0,15.1,0,2.35,2.94,266.13,8.4,0,10.98,0,0,2.42,0,0,9.01,0,0,12.5,0,1.14,2.66,0
