stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.68,584.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,0,0,0,0,0,0
  5-6,85.3,688.98,0,0,0,0,0,0,0,0,0,37.6,0,0,0,0,0,0,0,0,0,83.8,0,0,0,29.97,9.1,0,0,0,0,0,0,0,0,0
  7-9,56.53,35.43,0,32.32,0,0,22.05,0,0,0,0,51.98,0,0,0,0,0,0,0,0,0,505.96,54.7,0,0,439.87,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.49,0,0,0,11.1,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.28,8.4,0,0,73.16,0,0,249.03,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.97,143.52,2.07,0,0,0,1.08,0,0,0,0,0,0,0,0,0,0,23.12,2.5,0,0,0.9,6.31,2.06,0,0,2.17,11.94,0,0,0,0
 24-34,0,0,0,0,3.24,77.92,3.26,0,0.89,0,0,0,0.9,0,0,0,0,0,6.14,0,3.17,234.22,0.77,0,0,0,5.25,0,0,0,1.5,36.72,0,3.32,0,0
 36-46,0,0,0,0,1.51,26.01,10.97,0,0,5.94,0,0,0,0,0,0,0,0,3.03,1.42,0,1023.89,0,3.78,0,0,17.95,0,0,5.71,0,77.69,0,0.92,0,0
 48-58,0,0,0,0,6.45,0,104.96,3.45,1.94,31.68,0,0,0.83,0.38,0,0,0.56,0,26,0,0,2923.13,13.87,0,0,0,11.64,0,0,0,0,228.39,0,1.5,0,8.49
 60-70,0,0,0,0,1,0.81,246.02,0,0,41.34,0.65,0,0,4.97,0,0,2.05,0,38.02,7.81,0,3203.52,1.73,0,0,0,0,0,1.87,0,0,238.12,0,2.06,0,6.18
 72-82,0,0,1.38,0,15.8,15.03,381.08,0,2.82,47.41,0,0,1.96,4.43,3.2,6.84,0.62,0,26.62,2.78,2.21,2439.63,0,1.23,3.87,0,2.07,0,0,0,0,154.75,0,1.11,0,8.93
 84-94,0,0,0,0,13.73,1.53,315.68,0,0,20.07,1.42,0,1.5,2.13,0,1.29,0,0,21.51,2.09,1.46,1664.12,0.67,0,3.83,0,11.47,0,0,0,0,111.07,0,3.11,0.71,0
 96-106,0,0,1.1,0,11.16,4.62,277.07,0,6.82,30,1.38,0,0,0.56,0,0.73,0,0,28.34,0,3.09,1172.75,0,3.3,0.98,0,6.2,0,0,0,0,38.18,0,0,0.59,15.06
108-118,0,0,0,0,22.36,0.49,214.4,0,3.18,21.78,0.52,0,0,2.61,0,3.54,0.42,6.18,12.81,2.74,1.84,1607.51,0.48,1.48,0,0,5.26,0,0,0,0,38.73,0.7,3.65,0,0
120,0,0,0,0,17.24,1.03,282.79,0,19.12,104.53,0,0,0,0,0,0,0,0,2.02,0,0,2467,5.56,0,5.47,0,10.7,0,0,0,0,61.81,0,0,0,0
