stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,0,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.54,65.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38,0,0,0,0,0,0,0
  7-9,5.61,0,0,0,0,0,18.01,0,0,0,0,0,6.81,0,0,0,0,0,0,0,0,0,46.28,0,0,0,40.08,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.06,5.93,0,0,109.3,0,13.34,0,11.32,0,120.96,0,0,0
 14-21,0,0,0,5.38,0,0,2.46,0,0,0,1.21,1,0,15.61,3.41,0,0,0,1.41,0,2.24,172.48,28.87,4.46,0,0.84,0,0,8.68,9.91,0,2908.22,6242.65,9.51,0,0
 24-34,0,0,0,1.91,0,0,3.2,24.25,0,1.02,0.7,0,0,0,0.83,6.44,0,0,0,1.22,15.13,154.63,133.95,0,0,0,0,0,19.54,0.85,6.35,755.8,2266.03,35.24,0,10.24
 36-46,0,0,0,3.17,0,0,7.04,60.65,0,6.62,0,0,0,1.93,6.42,0,0,0.65,0,0,2.81,29.22,34.55,0,0.6,0,0,0,17.52,0,17.32,150.02,66.69,1.94,0,6.89
 48-58,0,0,0,0,0,0,10.11,26.85,0,0,0,0,0,0,0.96,0,5.31,0,0,0,2.06,40.8,16.82,0,1.41,0,0,0,7.85,0,37.1,28.56,0,4.42,0,0
 60-70,0,0,0,0,0,0,15.3,107.75,0,0,0,0.68,0,21.33,8.6,0,0,0,0,0,2.42,34.73,23.71,0,0,0,0.81,0,5.04,0,31.36,27.87,0,15.1,0,0
 72-82,0,0,0,0,1.53,0,32.53,31.06,0,0,0.7,13.79,0,0,0,0,0,0,2.72,0,6.57,30.62,31.81,0,1.33,0,1.13,0,2.31,0,56.92,10.48,0,0,0,0
 84-94,0,0,0,1.13,0,0,9.53,67.37,2.66,0,3.73,24.94,0,0,0.71,0,0,0,0,0,0.9,17.81,11.42,0,0,0,0,0,12.41,0,95.31,11.28,0,5.05,0,1.88
 96-106,0,0,0,0,7.56,4.27,28.28,42.68,1.35,0,0,42.19,0,1.04,1.66,0,0,0,0,0,6.17,22.38,41.12,0,3.7,0.84,0,1.77,2.94,0,87.58,13.68,0,1.83,0,0.58
108-118,0,0,0,9.24,0,0,5.96,40.08,0,0,1.4,94.39,0,0,0,0,2.31,0,0.43,0,5.89,9.79,9.2,2.73,0,0,0,0,10.71,0,89.12,16.9,0,0,2.01,2.22
120,0,0,1.37,1.32,3.49,0,4.13,17.15,2.24,0,0,116.5,0,1.85,3.01,0,0,0,0,0,0,41.86,16.39,0,0,0,0,0,2.72,1.12,62.75,11.04,0,0,0,0
