stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.09,0,0,0,0,0,0,0,0.99,1.9,0,0.97,0,0
 24-34,0,0,0,0,0,2.15,0,0,0,0.61,0,4.8,7.74,2.98,0,0,0,6.67,0,3.92,0.71,17.73,1.09,0,0.84,0,0,0,0,1.93,4.31,0,0,0,0
 36-46,0,0,0.64,0,0,1.53,7.01,0.63,0,2.26,0,3.47,33.31,3.27,0,0,0,19.38,0,4.95,1.19,31.89,0,1.68,0.66,0,17.46,0,0,0,11.95,0,0,0,0
 48-58,0.58,0,4.87,4.79,0,9.56,5.2,1.87,0,3.59,0,4.54,25.52,3.56,0,0,0,30.29,0,27.71,9.69,37.47,0.5,0.76,5.24,0,1.62,0.47,0,0,8.07,2.75,5.48,0,0
 60-70,0,0,1.19,2.46,0,15.83,3.12,7.84,0.98,3.92,0,13.01,82.89,9.46,0,0,0,87.98,0,112.76,14.37,38.63,0,0,39.8,14.21,0.77,1.12,0,0,8.46,23.69,0.63,19.77,0
 72-82,0,0.69,0,23.29,0,27.38,1.48,0,4.63,6.44,4.37,5.32,129.09,5.61,0,0.84,0,167.91,0,147.54,12.75,55.01,0,0,49.78,15.95,0.52,0,0,0,18.72,58.86,1.21,142.59,0
 84-94,0,0,3.44,13.33,0,6.12,0,3.86,3.41,5.32,1.84,5.01,151.52,4.26,0,0,0,131,0.86,97.09,5.81,22.14,0.63,0,7.56,8.09,5.35,3.22,0.57,0,14.07,85.94,1.33,124.87,0
 96-106,0,0,8.65,42.77,0.71,17.34,0,1.69,0,7.45,6.21,18.33,334.13,24.28,1.66,1.75,10.62,227.82,0,104.99,14.15,73.5,0.73,1.51,50.72,130.91,4.19,2.49,0.74,0,0,97.89,23.32,325.44,2.98
108-118,0,0,16.79,17.05,3.85,20.94,1.09,1.77,2.5,7.22,8.61,7.44,198.73,16.53,1.01,0,0,149.49,0,145.81,17.01,57.8,0.44,1.62,18.02,125.03,4.74,1.01,0,0,2.17,32.95,10.97,181.53,0
120,0,0,10.42,26.14,0,1.26,0,1.72,0,14.08,10.59,25.22,599.12,9.79,0,3.95,0,190.68,0,287.32,8.24,109.7,0,0,20.42,123.03,0,1.22,0,0,5.28,141.88,19.53,617.25,0
